"japanese","chinese","romaji","gender"
"菅野将晃","菅野将晃","Masaaki Kanno",""
"誉田哲也","誉田哲也","Tetsuya Honda",""
"谷川亜華葉","谷川亚华叶","Ageha Tanigawa",""
"超高速!参勤交代","超高速！参勤交代","Samurai Hustle",""
"鈴木おさむ","铃木收","Osamu Suzuki (screenwriter)",""
"長谷川好道","长谷川好道","Hasegawa Yoshimichi",""
"鶴田浩二","鹤田浩二","Kōji Tsuruta",""
"鷹司政煕","鹰司政熙","Takatsukasa Masahiro",""
"黒沢ともよ","黑泽朋世","Tomoyo Kurosawa",""
"上戸彩","上户彩","Aya Ueto",""
"中野慎詞","中野慎词","Shinji Nakano (cyclist)",""
"丸橋祐介","丸桥祐介","Yusuke Maruhashi",""
"九条輔実","九条辅实","Kujō Sukezane",""
"ジェシー (アイドル)","杰西","Jesse (Japanese singer)",""
"古川昌明","古川昌明","Masaaki Furukawa",""
"吉田美和","吉田美和","Miwa Yoshida",""
"堀畑裕也","堀畑裕也","Yuya Horihata",""
"大前元紀","大前元纪","Genki Omae",""
"大和哲也","大和哲也","Tetsuya Yamato",""
"大政所","大政所","Ōmandokoro",""
"大鳥圭介","大鸟圭介","Ōtori Keisuke",""
"山口由里子","山口由里子","Yuriko Yamaguchi (voice actress)",""
"山田裕貴","山田裕贵","Yuki Yamada (actor)",""
"島田智明","岛田智明","Tomoaki Shimada",""
"島村速雄","岛村速雄","Shimamura Hayao",""
"工藤遥","工藤遥","Haruka Kudō (singer)",""
"市川雅敏","市川雅敏","Masatoshi Ichikawa",""
"本間三和子","本间三和子","Miwako Motoyoshi",""
"松井俊英","松井俊英","Toshihide Matsui",""
"森秀昭","森秀昭","Hideaki Mori",""
"すぎやまこういち","椙山浩一","Koichi Sugiyama",""
"深田晃司","深田晃司","Koji Fukada",""
"渡辺奈緒子","渡边奈绪子","Naoko Watanabe (actress)",""
"澤登正朗","泽登正朗","Masaaki Sawanobori",""
"田中久重","田中久重","Tanaka Hisashige",""
"石井美樹","石井美树","Miki Ishii",""
"石橋陽彩","石桥阳彩","Hiiro Ishibashi",""
"織田シナモン信長","织田肉桂信长","Oda Cinnamon Nobunaga",""
"緒方洪庵","绪方洪庵","Ogata Kōan",""
"道永宏","道永宏","Hiroshi Michinaga",""
"酒井麻里子","酒井麻里子","Mariko Sakai",""
"関根貴大","关根贵大","Takahiro Sekine",""
"頭山満","头山满","Tōyama Mitsuru",""
"高丘陽平","高丘阳平","Yohei Takaoka",""
"Template:モーニング娘。","Template:早安少女组。","Template:Morning Musume",""
"一色紗英","一色纱英","Sae Isshiki",""
"三國連太郎","三国连太郎","Rentarō Mikuni",""
"丸谷清之介","丸谷清之介","Kiyonosuke Marutani",""
"喜納昌吉","喜纳昌吉","Shoukichi Kina",""
"大迫明伸","大迫明伸","Akinobu Osako",""
"守屋亨香","守屋亨香","Kyōka Moriya",""
"安保闘争","安保斗争","Anpo protests",""
"富田常次郎","富田常次郎","Tomita Tsunejirō",""
"小野恵令奈","小野惠令奈","Erena Ono",""
"松永政行","松永政行","Masayuki Matsunaga",""
"板野友美","板野友美","Tomomi Itano",""
"林鼓子","林鼓子","Coco Hayashi",""
"森尾由美","森尾由美","Yumi Morio",""
"泉ピン子","泉平子","Pinko Izumi",""
"浜田翔子 (タレント)","滨田翔子 (演员)","Shōko Hamada (television personality)",""
"片瀬那奈","片濑那奈","Nana Katase",""
"真木よう子","真木阳子","Yōko Maki (actress)",""
"石野真子","石野真子","Mako Ishino",""
"福田達夫","福田达夫","Tatsuo Fukuda",""
"種田恵","种田惠","Megumi Taneda",""
"稲垣祥","稻垣祥","Sho Inagaki",""
"笛真人","笛真人","Masato Fue",""
"第1次安倍内閣","第一次安倍内阁","First Abe cabinet",""
"織田長益","织田长益","Oda Nagamasu",""
"頼山陽","赖山阳","Rai San'yō",""
"野村豊和","野村丰和","Toyokazu Nomura",""
"金田喜稔","金田喜稔","Nobutoshi Kaneda",""
"長田道泰","长田道泰","Michiyasu Osada",""
"高林隆","高林隆","Takashi Takabayashi",""
"鳥羽俊正","鸟羽俊正","Toshimasa Toba",""
"中野正剛","中野正刚","Seigō Nakano",""
"丸山敦史","丸山敦史","Atsushi Maruyama (actor)",""
"佐々木希","佐佐木希","Nozomi Sasaki (model)",""
"初瀬亮","初濑亮","Ryō Hatsuse",""
"卜部弘嵩","卜部弘嵩","Hirotaka Urabe",""
"原口元気","原口元气","Genki Haraguchi",""
"大山妙子","大山妙子","Taeko Oyama",""
"小堀友里絵","小堀友里绘","Yurie Kobori",""
"山口勝平","山口胜平","Kappei Yamaguchi",""
"岩渕有美","岩渊有美","Yumi Iwabuchi",""
"川口春奈","川口春奈","Haruna Kawaguchi",""
"平賀源内","平贺源内","Hiraga Gennai",""
"明智光忠","明智光忠","Akechi Mitsutada",""
"松原智恵子","松原智惠子","Chieko Matsubara",""
"松原良香","松原良香","Yoshika Matsubara",""
"森本貴幸","森本贵幸","Takayuki Morimoto",""
"永田武","永田武","Takeshi Nagata",""
"渡辺えり","渡边惠里","Eri Watanabe",""
"浜口喜博","滨口喜博","Yoshihiro Hamaguchi",""
"熊谷一弥","熊谷一弥","Ichiya Kumagae",""
"田島道治","田岛道治","Michiji Tajima",""
"笠原茂","笠原茂","Shigeru Kasahara",""
"第1次伊藤内閣","第一次伊藤内阁","First Itō cabinet",""
"織田作之助","织田作之助","Sakunosuke Oda",""
"藤枝静男","藤枝静男","Shizuo Fujieda",""
"西見健吉","西见健吉","Kenkichi Nishimi",""
"足立梨花","足立梨花","Rika Adachi",""
"鎌田正司","镰田正司","Shoji Kamata",""
"須田景凪","须田景凪","Keina Suda",""
"高城れに","高城蕾妮","Reni Takagi",""
"黒瀬真奈美","黑濑真奈美","Manami Kurose",""
"亀梨和也","龟梨和也","Kazuya Kamenashi",""
"中達也","中达也","Tatsuya Naka",""
"京本政樹","京本政树","Masaki Kyomoto",""
"伊地知幸介","伊地知幸介","Ijichi Kōsuke",""
"佐藤理恵","佐藤理惠","Rie Sato (softball)",""
"佐藤せつじ","佐藤节二","Setsuji Satō",""
"リービ英雄","利比英雄","Hideo Levy",""
"前川和也","前川和也","Kazuya Maekawa",""
"加藤友介","加藤友介","Yusuke Kato",""
"右近徳太郎","右近德太郎","Tokutaro Ukon",""
"土肥洋一","土肥洋一","Yoichi Doi",""
"増本一彦","增本一彦","Kazuhiko Masumoto",""
"夏木マリ","夏木麻里","Mari Natsuki",""
"大達茂雄","大达茂雄","Shigeo Ōdachi",""
"巖谷小波","岩谷小波","Sazanami Iwaya",""
"廣田あいか","广田爱佳","Aika Hirota",""
"御台所","御台所","Midaidokoro",""
"志士","志士","Shishi (Japan)",""
"村下孝蔵","村下孝藏","Kōzō Murashita",""
"柳下大","柳下大","Tomo Yanagishita",""
"植草歩","植草步","Ayumi Uekusa",""
"江藤正基","江藤正基","Masaki Eto",""
"珠姫","珠姬","Tamahime",""
"石川多映子","石川多映子","Taeko Ishikawa",""
"石田嵩人","石田嵩人","Takato Ishida",""
"第3次佐藤内閣","第三次佐藤内阁","Third Satō cabinet",""
"第2次小泉内閣","第二次小泉内阁","Second Koizumi cabinet",""
"脇永達也","脇永达也","Tatsuya Wakinaga",""
"荻野目洋子","荻野目洋子","Yōko Oginome",""
"藤岡信勝","藤冈信胜","Nobukatsu Fujioka",""
"進藤亮佑","进藤亮佑","Ryōsuke Shindō",""
"野本礼三","野本礼三","Reizō Nomoto",""
"野田紗月","野田纱月","Satsuki Noda",""
"馬島誠","马岛诚","Makoto Majima",""
"高碕達之助","高埼达之助","Tatsunosuke Takasaki",""
"Template:芥川龍之介","Template:芥川龙之介","Template:Ryūnosuke Akutagawa",""
"上原れな","上原玲奈","Rena Uehara",""
"中井ノエミ","中井乃绘美","Noémie Nakai",""
"中澤さえ","中泽纱衣","Sae Nakazawa",""
"丹生明里","丹生明里","Akari Nibu",""
"久元喜造","久元喜造","Kizō Hisamoto",""
"伊藤美来","伊藤美来","Miku Itō",""
"内山昂輝","内山昂辉","Koki Uchiyama",""
"北条貞将","北条贞将","Hōjō Sadayuki",""
"吉岡里帆","吉冈里帆","Riho Yoshioka",""
"大政絢","大政绚","Aya Ōmasa",""
"天竺徳兵衛","天竺德兵卫","Tenjiku Tokubei",""
"岩元洋成","岩元洋成","Hironari Iwamoto",""
"岸信夫","岸信夫","Nobuo Kishi",""
"常高院","常高院","Ohatsu",""
"平井一正 (重量挙げ選手)","平井一正","Kazumasa Hirai (weightlifter)",""
"我妻広一","我妻广一","Koichi Azuma",""
"GENERATIONS from EXILE TRIBE","放浪新世代 from 放浪一族","Generations from Exile Tribe",""
"新木優子","新木优子","Yuko Araki",""
"松田浩","松田浩","Hiroshi Matsuda",""
"森岡隆三","森冈隆三","Ryuzo Morioka",""
"橋本良亮","桥本良亮","Ryosuke Hashimoto",""
"水野忠重","水野忠重","Mizuno Tadashige",""
"浦田尚希","浦田尚希","Naoki Urata",""
"トーマス・ブレーク・グラバー","汤玛士·布雷克·哥拉巴","Thomas Blake Glover",""
"田中静壱","田中静壹","Shizuichi Tanaka",""
"米内光政","米内光政","Mitsumasa Yonai",""
"萩原美樹子","萩原美树子","Mikiko Hagiwara",""
"萩原麻由子","萩原麻由子","Mayuko Hagiwara",""
"藤原道綱母","藤原道纲母","Michitsuna's mother",""
"西村綾加","西村绫加","Ayaka Nishimura",""
"貫地谷しほり","贯地谷栞","Shihori Kanjiya",""
"長田重一","长田重一","Shigekazu Nagata",""
"高城亜樹","高城亚树","Aki Takajō",""
"Template:三島由紀夫","Template:三岛由纪夫","Template:Yukio Mishima",""
"三船久蔵","三船久藏","Kyuzo Mifune",""
"中島裕翔","中岛裕翔","Yuto Nakajima",""
"京 (ミュージシャン)","京 (音乐家)","Kyo (musician)",""
"内山悠里菜","内山悠里菜","Yurina Uchiyama",""
"劇団ひとり","剧团一人","Gekidan Hitori",""
"古川陽介","古川阳介","Yosuke Furukawa",""
"吉井裕鷹","吉井裕鹰","Hirotaka Yoshii",""
"吉川あいみ","吉川爱美","Aimi Yoshikawa",""
"大石昌良","大石昌良","Masayoshi Ōishi",""
"山下真司","山下真司","Shinji Yamashita",""
"山崎宗鑑","山崎宗鉴","Yamazaki Sōkan",""
"山本悍右","山本悍右","Kansuke Yamamoto (artist)",""
"岸大贵","岸大贵","Daiki Kishi",""
"平敦盛","平敦盛","Taira no Atsumori",""
"新宅雅也","新宅永灯至","Hisatoshi Shintaku",""
"有本欽隆","有本钦隆","Kinryū Arimoto",""
"木村栄","木村荣","Hisashi Kimura",""
"李家元宥","李家元宥","Rinoie Motohiro",""
"武藤弘樹","武藤弘树","Hiroki Muto",""
"澤野大地","泽野大地","Daichi Sawano",""
"清和政策研究会","清和政策研究会","Seiwa Seisaku Kenkyūkai",""
"湯崎英彦","汤崎英彦","Hidehiko Yuzaki",""
"熨斗谷さくら","熨斗谷樱","Sakura Noshitani",""
"玉田圭司","玉田圭司","Keiji Tamada",""
"石井啓一","石井启一","Keiichi Ishii",""
"萱野茂","萱野茂","Kayano Shigeru",""
"遠藤舞","远藤舞","Mai Endo",""
"野間宏","野间宏","Hiroshi Noma",""
"阿部勇樹","阿部勇树","Yuki Abe",""
"東山紀之","东山纪之","Noriyuki Higashiyama",""
"中山由起枝","中山由起枝","Yukie Nakayama",""
"久高友雄","久高友雄","Tomoo Kudaka",""
"チェイス・アンリ","亨利·蔡斯","Anrie Chase",""
"別府晋介","别府晋介","Beppu Shinsuke",""
"前田光世","前田光世","Mitsuyo Maeda",""
"千田夏光","千田夏光","Kakou Senda",""
"マシロ","坂本舞白","Mashiro Sakamoto",""
"増田誓志","增田誓志","Chikashi Masuda",""
"大久保進","大久保进","Susumu Okubo",""
"大川隆法","大川隆法","Ryuho Okawa",""
"大木民夫","大木民夫","Tamio Ōki",""
"天野月","天野月","Tsuki Amano",""
"小倉優子","小仓优子","Yuko Ogura",""
"小谷実可子","小谷实可子","Mikako Kotani",""
"平野文","平野文","Fumi Hirano",""
"後藤新平","后藤新平","Gotō Shinpei",""
"樽床伸二","樽床伸二","Shinji Tarutoko",""
