"japanese","chinese","romaji","gender"
"小渕恵三","小渊惠三","Keizō Obuchi",""
"山本一太","山本一太","Ichita Yamamoto",""
"島田敏","岛田敏","Bin Shimada",""
"徳川家光","德川家光","Tokugawa Iemitsu",""
"服部良一","服部良一","Ryōichi Hattori",""
"本島等","本岛等","Hitoshi Motoshima",""
"松田直樹","松田直树","Naoki Matsuda",""
"武井択也","武井择也","Takuya Takei",""
"淡路卓","淡路卓","Suguru Awaji",""
"渡辺美優紀","渡边美优纪","Miyuki Watanabe",""
"石川智晶","石川智晶","Chiaki Ishikawa",""
"石川龍也","石川龙也","Tatsuya Ishikawa",""
"緑魔子","绿魔子","Mako Midori",""
"緒方賢一","绪方贤一","Kenichi Ogata (voice actor)",""
"ハーフナー・ディド","迪多·哈维纳尔","Dido Havenaar",""
"金澤朋子","金泽朋子","Tomoko Kanazawa",""
"鈴木恒夫","铃木恒夫","Tsuneo Suzuki",""
"須田芳正","须田芳正","Yoshimasa Suda",""
"上月城の戦い","上月城之战","Siege of Kōzuki Castle",""
"仁科克基","仁科克基","Masaki Nishina",""
"前山剛久","前山刚久","Takahisa Maeyama",""
"加藤シゲアキ","加藤成亮","Shigeaki Kato",""
"加賀まりこ","加贺真理子","Mariko Kaga",""
"千葉麗子","千叶丽子","Reiko Chiba",""
"吉田麻也","吉田麻也","Maya Yoshida",""
"後藤田正晴","后藤田正晴","Masaharu Gotōda",""
"向井理","向井理","Osamu Mukai",""
"吳坤煌","吴坤煌","Wu Kunhuang",""
"妻夫木聡","妻夫木聪","Satoshi Tsumabuki",""
"宮崎健治","宫崎健治","Kenji Miyazaki",""
"小野リサ","小野丽莎","Lisa Ono",""
"山内房治郎","山内房治郎","Fusajiro Yamauchi",""
"山東昭子","山东昭子","Akiko Santō",""
"川崎亜沙美","川崎亚沙美","Asami Kawasaki",""
"木戸孝允","木户孝允","Kido Takayoshi",""
"松井江美","松井江美","Emi Matsui",""
"ミヨシ・ウメキ","梅木三吉","Miyoshi Umeki",""
"梅勝夫","梅胜夫","Katsuo Bai",""
"椎名桔平","椎名桔平","Kippei Shiina",""
"河野俊嗣","河野俊嗣","Shunji Kōno",""
"津田信澄","津田信澄","Tsuda Nobuzumi",""
"浦田武","浦田武","Takeshi Urata",""
"清野智秋","清野智秋","Tomoaki Seino",""
"リチャード・コックス","理查·考克斯","Richard Cocks",""
"稲垣満次郎","稻垣满次郎","Inagaki Manjirō",""
"アレッサンドロ・ヴァリニャーノ","范礼安","Alessandro Valignano",""
"菊隠宗意","菊隐宗意","Kikuin Sōi",""
"西垣匠","西垣匠","Sho Nishigaki",""
"鈴木愛奈","铃木爱奈","Aina Suzuki",""
"鈴木大輔 (サッカー選手)","铃木大辅 (足球运动员)","Daisuke Suzuki (footballer)",""
"長嶋一茂","长嶋一茂","Kazushige Nagashima",""
"飛田展男","飞田展男","Nobuo Tobita",""
"上原美優","上原美优","Miyu Uehara",""
"久坂玄瑞","久坂玄瑞","Kusaka Genzui",""
"今村明恒","今村明恒","Akitsune Imamura",""
"切捨御免","切舍御免","Kiri-sute gomen",""
"大島優子","大岛优子","Yuko Oshima",""
"小村徳男","小村德男","Norio Omura",""
"小沢一郎","小泽一郎","Ichirō Ozawa",""
"早見沙織","早见沙织","Saori Hayami",""
"有馬賢二","有马贤二","Kenji Arima",""
"森戸知沙希","森户知沙希","Chisaki Morito",""
"欧陽菲菲","欧阳菲菲","Ouyang Fei Fei",""
"清水和男","清水和男","Kazuo Shimizu",""
"渡辺喜美","渡边喜美","Yoshimi Watanabe",""
"沢田謙太郎","泽田谦太郎","Kentaro Sawada",""
"町村信孝","町村信孝","Nobutaka Machimura",""
"笹井芳樹","笹井芳树","Yoshiki Sasai",""
"若林竹雄","若林竹雄","Takeo Wakabayashi",""
"蒼井優","苍井优","Yū Aoi",""
"谷本歩実","谷本步实","Ayumi Tanimoto",""
"辻政信","辻政信","Masanobu Tsuji",""
"近衛家熙","近卫家熙","Konoe Iehiro",""
"長澤和明","长泽和明","Kazuaki Nagasawa",""
"V6 (グループ)","V6 (偶像团体)","V6 (band)",""
"京極高吉","京极高吉","Kyōgoku Takayoshi",""
"佐藤恵允","佐藤惠允","Kein Satō",""
"冨樫剛一","冨㭴刚一","Koichi Togashi",""
"千田愛紗","千田爱纱","Aisa Senda",""
"坂井瑠星","坂井瑠星","Ryusei Sakai",""
"エルサムニー・オサマ","奥沙玛·艾森尼","Osama Elsamni",""
"守田英正","守田英正","Hidemasa Morita",""
"小川国夫","小川国夫","Kunio Ogawa",""
"小池徹平","小池彻平","Teppei Koike",""
"山本宏美","山本宏美","Hiromi Yamamoto",""
"岡田将生","冈田将生","Masaki Okada",""
"川中香緖里","川中香绪里","Kaori Kawanaka",""
"月夜涙","月夜泪","Rui Tsukiyo",""
"杉本美香","杉本美香","Mika Sugimoto",""
"村田夏南子","村田夏南子","Kanako Murata",""
"柴田理恵","柴田理惠","Rie Shibata",""
"桂宮淑子内親王","桂宫淑子内亲王","Princess Sumiko",""
"榎本潤","榎本润","Jun Enomoto",""
"河村隆一","河村隆一","Ryuichi Kawamura",""
"浅田信興","浅田信兴","Asada Nobuoki",""
"渡辺淳一","渡边淳一","Junichi Watanabe",""
"玄葉光一郎","玄叶光一郎","Kōichirō Genba",""
"田邉草民","田边草民","Sotan Tanabe",""
"白石涼子","白石凉子","Ryoko Shiraishi",""
"篠崎洋子","筿崎洋子","Yoko Shinozaki",""
"西尾茂之","西尾茂之","Shigeyuki Nishio",""
"売茶翁","卖茶翁","Baisao",""
"鈴木梅太郎","铃木梅太郎","Umetaro Suzuki",""
"鍵田忠兵衛","键田忠兵卫","Chubee Kagita",""
"鷺沢萠","鹭泽萌","Megumu Sagisawa",""
"三澤紗千香","三泽纱千香","Sachika Misawa",""
"三科真澄","三科真澄","Masumi Mishina",""
"中岡慎太郎","中冈慎太郎","Nakaoka Shintarō",""
"中瀬卓也","中濑卓也","Takuya Nakase",""
"亜矢","亚矢","Aya (Japanese singer)",""
"坂上嘉津季","坂上嘉津季","Katsuki Sakagami",""
"堀川りょう","堀川亮","Ryō Horikawa",""
"大場恵美子","大场惠美子","Emiko Ohba",""
"大貫亜美","大贯亚美","Ami Onuki",""
"宮本輝子","宫本辉子","Teruko Miyamoto",""
"小川淳也","小川淳也","Junya Ogawa",""
"小沢真珠","小泽真珠","Maju Ozawa",""
"山北早紀","山北早纪","Saki Yamakita",""
"山口那津男","山口那津男","Natsuo Yamaguchi",""
"みちよ","平家充代","Michiyo Heike",""
"平田昭彦","平田昭彦","Akihiko Hirata",""
"映美くらら","映美仓良","Kurara Emi",""
"木南晴夏","木南晴夏","Haruka Kinami",""
"楠木正成","楠木正成","Kusunoki Masashige",""
"櫻内義雄","樱内义雄","Yoshio Sakurauchi",""
"石掛美知代","石挂美知代","Michiyo Ishikake",""
"秋山万喜夫","秋山万喜夫","Makio Akiyama",""
"第2次岸内閣","第二次岸内阁","Second Kishi cabinet",""
"細貝萌","细贝萌","Hajime Hosogai",""
"若月大和","若月大和","Yamato Wakatsuki",""
"菅田将暉","菅田将晖","Masaki Suda",""
"薪谷翠","薪谷翠","Midori Shintani",""
"近衛基前","近卫基前","Konoe Motosaki",""
"金丸淳一","金丸淳一","Jun'ichi Kanemaru",""
"閑院宮春仁王","闲院宫春仁王","Prince Kan'in Haruhito",""
"阿部真央","阿部真央","Mao Abe",""
"麻生久美子","麻生久美子","Kumiko Aso",""
"Template:栃木県知事","Template:栃木县知事","Template:Governors of Tochigi Prefecture",""
"Flower (グループ)","Flower (组合)","Flower (Japanese group)",""
"三田ゆう子","三田友子","Yūko Mita",""
"上村春樹","上村春树","Haruki Uemura",""
"中本邦治","中本邦治","Kuniharu Nakamoto",""
"五十嵐麗","五十岚丽","Rei Igarashi",""
"井上哲次郎","井上哲次郎","Inoue Tetsujirō",""
"倉田英之","仓田英之","Hideyuki Kurata",""
"八代亜紀","八代亚纪","Aki Yashiro",""
"八木光生","八木光生","Kousei Yagi",""
"宍戸留美","宍户留美","Rumi Shishido",""
"小磯國昭","小矶国昭","Kuniaki Koiso",""
"山本耕史","山本耕史","Koji Yamamoto (actor)",""
"平川弘","平川弘","Hiroshi Hirakawa",""
"ラモス瑠偉","拉莫斯·瑠伟","Ruy Ramos",""
"持田香織","持田香织","Kaori Mochida",""
"松野博一","松野博一","Hirokazu Matsuno",""
"板額御前","板额御前","Hangaku Gozen",""
"植田直通","植田直通","Naomichi Ueda",""
"浅沼稲次郎","浅沼稻次郎","Inejirō Asanuma",""
"瀬戸康史","濑户康史","Kōji Seto",""
"白石隼也","白石隼也","Shunya Shiraishi",""
"白間美瑠","白间美瑠","Miru Shiroma",""
"筒井康隆","筒井康隆","Yasutaka Tsutsui",""
"藤木直人","藤木直人","Naohito Fujiki",""
"辻希美","辻希美","Nozomi Tsuji",""
"おくりびと","送行者：礼仪师的乐章","Departures (2008 film)",""
"三月のパンタシア","三月的Phantasia","Sangatsu no Phantasia",""
"丸山城志郎","丸山城志郎","Joshiro Maruyama",""
"伊藤智也","伊藤智也","Tomoya Ito",""
"佐藤太一","佐藤太一","Taichi Sato",""
"児玉源太郎","儿玉源太郎","Kodama Gentarō",""
"北川航也","北川航也","Koya Kitagawa",""
"千葉健太 (体操選手)","千叶健太","Kenta Chiba",""
"吉岡秀隆","吉冈秀隆","Hidetaka Yoshioka",""
"和久井秀俊","和久井秀俊","Hidetoshi Wakui",""
"坂爪亮介","坂爪亮介","Ryosuke Sakazume",""
"大塚志穗","大冢志穗","Shiho Otsuka",""
"大黒摩季","大黑摩季","Maki Ohguro",""
"小野真由美","小野真由美","Mayumi Ono (field hockey)",""
"山川均","山川均","Hitoshi Yamakawa",""
"山本幸代","山本幸代","Sachiyo Yamamoto",""
"岩崎弥太郎","岩崎弥太郎","Iwasaki Yatarō",""
"平山清次","平山清次","Kiyotsugu Hirayama",""
"新生党","新生党","Japan Renewal Party",""
"早川漣","早川涟","Ren Hayakawa",""
"杉村英孝","杉村英孝","Hidetaka Sugimura",""
"池ノ上俊一","池之上俊一","Shunichi Ikenoue",""
"清水茂人","清水茂人","Shigeto Shimizu",""
"田島芽瑠","田岛芽瑠","Meru Tashima",""
"石丸謙二郎","石丸谦二郎","Kenjirō Ishimaru",""
"碁所","碁所","Godokoro",""
"神楽坂恵","神乐坂惠","Megumi Kagurazaka",""
"純純 (歌手)","纯纯 (歌手)","Sun-sun (singer)",""
"結城光流","结城光流","Mitsuru Yūki",""
"绪方章","绪方章","Akira Ogata",""
"若山詩音","若山诗音","Shion Wakayama",""
"観月ありさ","观月亚里莎","Alisa Mizuki",""
"関口久雄","关口久雄","Hisao Sekiguchi",""
"飛鳥凛","飞鸟凛","Rin Asuka",""
"高宇洋","高宇洋","Takahiro Ko",""
"岸田文雄のウクライナ訪問","2023年岸田文雄访问乌克兰","2023 visit by Fumio Kishida to Ukraine",""
"三宅唱","三宅唱","Sho Miyake",""
"今津寛","今津宽","Hiroshi Imazu",""
"佐々木更三","佐佐木更三","Kōzō Sasaki",""
"関塚隆","关冢隆","Takashi Sekizuka",""
"内野艶和","内野艳和","Tsuyaka Uchino",""
"利部陽子","利部阳子","Yoko Kagabu",""
"加藤夏希","加藤夏希","Natsuki Katō",""
"土居愛実 (セーリング選手)","土居爱实","Manami Doi",""
"太田吉彰","太田吉彰","Yoshiaki Ota",""
"宇野沢祐次","宇野泽祐次","Yuji Unozawa",""
"小出恵介","小出惠介","Keisuke Koide",""
"山本有三","山本有三","Yūzō Yamamoto",""
"岩男潤子","岩男润子","Junko Iwao",""
"広瀬勝貞","广濑胜贞","Katsusada Hirose",""
"新垣里沙","新垣里沙","Risa Niigaki",""
"木梨憲武","木梨宪武","Noritake Kinashi",""
"本田朝次","本田朝次","Asaji Honda",""
"染谷俊之","染谷俊之","Toshiyuki Someya",""
"染谷将太","染谷将太","Shota Sometani",""
"渡边圣太","渡边圣太","Seita Watanabe",""
"田中順子 (アーティスティックスイミング選手)","田中顺子","Junko Tanaka",""
"白石冬美","白石冬美","Fuyumi Shiraishi",""
"白石稔","白石稔","Minoru Shiraishi",""
"藤本英男","藤本英男","Hideo Fujimoto (wrestler)",""
"遠藤保仁","远藤保仁","Yasuhito Endō",""
"野口英世","野口英世","Hideyo Noguchi",""
"鈴木伸之","铃木伸之","Nobuyuki Suzuki",""
"鈴木康仁","铃木康仁","Yasuhito Suzuki",""
"阿川弘之","阿川弘之","Hiroyuki Agawa",""
"阿部巨史","阿部巨史","Kiyoshi Abe",""
"斉藤和義","齐藤和义","Kazuyoshi Saito",""
"大木亜希子","亚希子","Akiko (actress)",""
"京佳","京佳","Kyouka",""
"今井翼","今井翼","Tsubasa Imai",""
"仲谷明香","仲谷明香","Sayaka Nakaya",""
"六角義賢","六角义贤","Rokkaku Yoshikata",""
"前田利長","前田利长","Maeda Toshinaga",""
"加藤諒","加藤谅","Ryō Katō",""
"吉田美月喜","吉田美月喜","Mizuki Yoshida",""
"向井孝博","向井孝博","Takahiro Mukai",""
"堂本剛","堂本刚","Tsuyoshi Domoto",""
"大谷直子","大谷直子","Naoko Otani",""
"天知茂","天知茂","Shigeru Amachi",""
"宮城淳","宫城淳","Atsushi Miyagi",""
"小川誠二","小川诚二","Seiji Ogawa",""
"岩崎邦宏","岩崎邦宏","Kunihiro Iwasaki",""
"岸祐二","岸祐二","Yūji Kishi",""
"扇千景","扇千景","Chikage Oogi",""
"春日香音","春日香音","Kanon Kasuga",""
"あさぎり夕","朝雾夕","Yū Asagiri",""
"榮倉奈々","荣仓奈奈","Nana Eikura",""
"橋本さとし","桥本哲","Satoshi Hashimoto",""
"池大雅","池大雅","Ike no Taiga",""
"湯元進一","汤元进一","Shin'ichi Yumoto",""
"淡島千景","淡岛千景","Chikage Awashima",""
"田村憲久","田村宪久","Norihisa Tamura",""
"第1次鳩山一郎内閣","第一次鸠山一郎内阁","First Ichirō Hatoyama cabinet",""
"綾奈ゆにこ","绫奈由仁子","Yuniko Ayana",""
"逢沢りな","逢泽莉娜","Rina Aizawa",""
"高台寺","高台寺 (京都市)","Kōdai-ji",""
"高桑大二朗","高桑大二朗","Daijiro Takakuwa",""
"髙萩洋次郎","高萩洋次郎","Yojiro Takahagi",""
"Template:日向坂46","Template:日向坂46","Template:Hinatazaka46",""
"三宅由佳莉","三宅由佳莉","Yukari Miyake",""
"中山美穂","中山美穗","Miho Nakayama",""
"伊野田繁","伊野田繁","Shigeru Inoda",""
"佐野和真","佐野和真","Kazuma Sano",""
"内村光良","内村光良","Teruyoshi Uchimura",""
"北原白秋","北原白秋","Hakushū Kitahara",""
"北白川宮能久親王","北白川宫能久亲王","Prince Kitashirakawa Yoshihisa",""
"ちあきなおみ","千秋直美","Naomi Chiaki",""
"吉本実憂","吉本实忧","Miyu Yoshimoto",""
"堺亮介","堺亮介","Ryosuke Sakai",""
"安楽宙斗","安乐宙斗","Sorato Anraku",""
"小川一水","小川一水","Issui Ogawa",""
"島尾敏雄","岛尾敏雄","Toshio Shimao",""
"岩崎恭子","岩崎恭子","Kyoko Iwasaki",""
"川口順子","川口顺子","Yoriko Kawaguchi",""
"平林たい子","平林泰子","Taiko Hirabayashi",""
"本庄繁","本庄繁","Shigeru Honjō",""
"村田諒太","村田谅太","Ryōta Murata",""
"松浦隆信","松浦隆信","Matsura Takanobu",""
"松重豊","松重丰","Yutaka Matsushige",""
"桃井かおり","桃井薰","Kaori Momoi",""
"水野忠彦","水野忠彦","Tadahiko Mizuno",""
"永井荷風","永井荷风","Kafū Nagai",""
"片倉喜多","片仓喜多","Katakura Kita",""
"石田博英","石田博英","Hirohide Ishida",""
"矶贝赖秀","矶贝赖秀","Yorihide Isogai",""
"窪寺昭","洼寺昭","Akira Kubodera",""
"菊池容斎","菊池容斋","Kikuchi Yōsai",""
"藪田光教","薮田光教","Mitsunori Yabuta",""
"蛯名正義","蛯名正义","Masayoshi Ebina",""
"赤井秀一","赤井秀一 (足球员)","Shuichi Akai (footballer)",""
"酒井宏樹","酒井宏树","Hiroki Sakai",""
"饗庭篁村","飨庭篁村","Aeba Kōson",""
"原康義","原康义","Yasuyoshi Hara",""
"古田肇","古田肇","Hajime Furuta",""
"尊寿院","吉弘菊姬","Yoshihiro Kikuhime",""
"団時朗","团时朗","Jirō Dan",""
"土屋太鳳","土屋太凤","Tao Tsuchiya",""
"増田俊樹","增田俊树","Toshiki Masuda",""
"夏目漱石","夏目漱石","Natsume Sōseki",""
"大後寿々花","大后寿寿花","Suzuka Ohgo",""
"安田理大","安田理大","Michihiro Yasuda",""
"冨永みーな","富永美衣奈","Miina Tominaga",""
"小林多喜二","小林多喜二","Takiji Kobayashi",""
"工藤静香","工藤静香","Shizuka Kudo",""
"平愛梨","平爱梨","Airi Taira",""
"新田義興","新田义兴","Nitta Yoshioki",""
"本因坊秀元","本因坊秀元","Hon'inbō Shūgen",""
"林董","林董","Hayashi Tadasu",""
"柏原崇","柏原崇","Takashi Kashiwabara",""
"森山佳郎","森山佳郎","Yoshiro Moriyama",""
"まんが 水戸黄門","水户黄门 (动画)","Manga Mito Kōmon",""
"瀧廉太郎","泷廉太郎","Rentarō Taki",""
"玉澤徳一郎","玉泽德一郎","Tokuichiro Tamazawa",""
"福山雅治","福山雅治","Masaharu Fukuyama",""
"第2次鳩山一郎内閣","第二次鸠山一郎内阁","Second Ichirō Hatoyama cabinet",""
"羽生直剛","羽生直刚","Naotake Hanyu",""
"菅野賢一","菅野贤一","Kenichi Sugano",""
"猪口孝","猪口孝","Takashi Inoguchi",""
"鈴木俊一 (衆議院議員)","铃木俊一 (众议院议员)","Shun'ichi Suzuki (politician)",""
"下関条約","马关条约","Treaty of Shimonoseki",""
"高台家の人々","高台家的成员","Kōdai-ke no Hitobito",""
"鬼庭良直","鬼庭良直","Oniniwa Yoshinao",""
"ウィリアム・アダムス","三浦按针","William Adams (samurai)",""
"中西永輔","中西永辅","Eisuke Nakanishi",""
"井上成美","井上成美","Shigeyoshi Inoue",""
"佐々木彩夏","佐佐木彩夏","Ayaka Sasaki",""
"原史奈","原史奈","Fumina Hara",""
"チョコボール向井","向山裕","Chocoball Mukai",""
"夢想権之助","梦想权之助","Musō Gonnosuke",""
"山本富士雄","山本富士雄","Fujio Yamamoto",""
"手嶌葵","手嶌葵","Aoi Teshima",""
"本山雅志","本山雅志","Masashi Motoyama",""
"杉浦直樹","杉浦直树","Naoki Sugiura",""
"東博樹","东博树","Hiroki Azuma (footballer)",""
"松原仁","松原仁","Jin Matsubara",""
"松村好子","松村好子","Yoshiko Matsumura",""
"林勇 (声優)","林勇 (日本)","Yū Hayashi",""
"梨花","梨花 (模特儿)","Rinka (model)",""
"畑野ひろ子","畑野浩子","Hiroko Hatano",""
"竹下登","竹下登","Noboru Takeshita",""
"第2次大平内閣","第二次大平内阁","Second Ōhira cabinet",""
"薩摩剣八郎","萨摩剑八郎","Kenpachiro Satsuma",""
"藤原鎌足","藤原镰足","Fujiwara no Kamatari",""
"藤田直之","藤田直之","Naoyuki Fujita",""
"飯塚雅弓","饭冢雅弓","Mayumi Iizuka",""
"井上苑子","井上苑子","Sonoko Inoue",""
"佐藤安孝","佐藤安孝","Yasutaka Sato",""
"佐藤雄平","佐藤雄平","Yūhei Satō",""
"佐野岳","佐野岳","Gaku Sano",""
"北条守時","北条守时","Hōjō Moritoki",""
"十朱幸代","十朱幸代","Yukiyo Toake",""
"原田和香","原田和香","Nodoka Harada",""
"国定忠治","国定忠治","Kunisada Chūji",""
"國島直希","国岛直希","Naoki Kunishima",""
"冨安健洋","富安健洋","Takehiro Tomiyasu",""
"小林一茶","小林一茶","Kobayashi Issa",""
"山下美月","山下美月","Mizuki Yamashita",""
"平野達男","平野达男","Tatsuo Hirano",""
"日本における女城主の一覧","日本的女性城主","List of female castellans in Japan",""
"朝日健太郎","朝日健太郎","Kentaro Asahi",""
"植村慶","植村庆","Kei Uemura",""
"榊原良子","榊原良子","Yoshiko Sakakibara",""
"ヴィヨンの妻 〜桜桃とタンポポ〜","樱之桃与蒲公英","Villon's Wife",""
"武居由樹","武居由树","Yoshiki Takei",""
"瀬戸内寂聴","濑户内寂听","Jakucho Setouchi",""
"相葉裕樹","相叶裕树","Hiroki Aiba",""
"第1次中曽根内閣","第一次中曾根内阁","First Nakasone cabinet",""
"芦名星","芦名星","Sei Ashina",""
"すとぷり","草莓王子","Strawberry Prince",""
"西川潤之","西川润之","Junji Nishikawa",""
"西村康稔","西村康稔","Yasutoshi Nishimura",""
"近藤雅子","近藤雅子","Masako Kondo",""
"鈴木善幸","铃木善幸","Zenkō Suzuki",""
"須賀貴匡","须贺贵匡","Takamasa Suga",""
"鳩山由紀夫","鸠山由纪夫","Yukio Hatoyama",""
"鹿島丈博","鹿岛丈博","Takehiro Kashima",""
"Template:沖縄県知事","Template:冲绳县知事","Template:Governors of Okinawa Prefecture",""
"サンドロビッチ・ヤバ子","三肉必起·牙霸子","Yabako Sandrovich",""
"中勘助","中勘助","Kansuke Naka",""
"佐藤嘉洋","佐藤嘉洋","Yoshihiro Sato",""
"内田裕也","内田裕也","Yuya Uchida (singer)",""
"岡本一平","冈本一平","Okamoto Ippei",""
"加藤竜二","加藤龙二","Ryuji Kato",""
"原幹恵","原干惠","Mikie Hara",""
"吉成名高","吉成名高","Nadaka Yoshinari",""
"ジョヴァンニ・バッティスタ・シドッティ","乔凡尼·巴蒂斯塔·希多启","Giovanni Battista Sidotti",""
"かよう愛子","嘉阳爱子","Aiko Kayō",""
"坂元達裕","坂元达裕","Tatsuhiro Sakamoto",""
"大平貴之","大平贵之","Takayuki Ohira",""
"小松政夫","小松政夫","Masao Komatsu",""
"小池知己","小池知己","Toshiki Koike",""
"山口智 (サッカー選手)","山口智","Satoshi Yamaguchi (footballer, born 1978)",""
"山片蟠桃","山片蟠桃","Yamagata Bantō",""
"平田洸介","平田洸介","Kohsuke Hirata",""
"広島県第7区","广岛县第7区","Hiroshima 7th district",""
"戌神ころね","戌神沁音","Inugami Korone",""
"日本新党","日本新党","Japan New Party",""
"末岡圀孝","末冈圀孝","Kunitaka Sueoka",""
"李裕ヒョン","李裕灐","Lee Yoo-hyung",""
"東京オリンピック・パラリンピック競技大会組織委員会","东京奥林匹克、帕拉林匹克竞技大会组织委员会","Tokyo Organising Committee of the Olympic and Paralympic Games",""
"渡辺満里奈","渡边满里奈","Marina Watanabe",""
"源平彩南","源平彩南","Ayana Gempei",""
"笑福亭鶴瓶","笑福亭鹤瓶","Shōfukutei Tsurube II",""
"苗村郁代","苗村郁代","Ikuyo Namura",""
"葉月里緒奈","叶月里绪菜","Riona Hazuki",""
"藤本裕 (バスケットボール)","藤本裕","Yutaka Fujimoto",""
"Template:防衛大臣","Template:防卫大臣","Template:Japanese defense ministers",""
"中村咲哉","中村咲哉","Sakuya Nakamura",""
"中村英一 (ホッケー選手)","中村英一","Eiichi Nakamura (field hockey)",""
"中村裕之","中村裕之","Hiroyuki Nakamura",""
"井上節子","井上节子","Setsuko Inoue",""
"伊能忠敬","伊能忠敬","Inō Tadataka",""
"伊藤友樹","伊藤友树","Yuki Ito (actor)",""
"内藤多仲","内藤多仲","Tachū Naitō",""
"加賀千代女","加贺千代女","Kaga no Chiyo",""
"北川景子","北川景子","Keiko Kitagawa",""
"和田正人","和田正人","Masato Wada",""
"埜下荘司","埜下庄司","Shoji Nonoshita",""
"川﨑真由美","川崎真由美","Mayumi Kawasaki (basketball)",""
"桜井和寿","樱井和寿","Kazutoshi Sakurai",""
"宮内ひとみ","樱庭奈奈美","Hitomi Miyauchi",""
"江川重光","江川重光","Shigemitsu Egawa",""
"カピタン","甲比丹","VOC chief traders in Japan",""
"石川直宏","石川直宏","Naohiro Ishikawa",""
"福井誠 (競泳選手)","福井诚","Makoto Fukui",""
"米倉千尋","米仓千寻","Chihiro Yonekura",""
"細川俊之","细川俊之","Toshiyuki Hosokawa",""
"羽田雄一郎","羽田雄一郎","Yuichiro Hata",""
"菊川怜","菊川怜","Rei Kikukawa",""
"西山麗","西山丽","Rei Nishiyama",""
"西島和彦 (物理学者)","西岛和彦","Kazuhiko Nishijima",""
"込山榛香","込山榛香","Haruka Komiyama",""
"鈴木京香","铃木京香","Kyōka Suzuki",""
"铃木十二美","铃木十二美","Hifumi Suzuki",""
"阿部サダヲ","阿部贞夫","Sadao Abe",""
"青山テルマ","青山黛玛","Thelma Aoyama",""
"三船敏郎","三船敏郎","Toshiro Mifune",""
"佐藤朱美","佐藤朱美","Akemi Satō (singer)",""
"佐藤駿 (フィギュアスケート選手)","佐藤骏","Shun Sato (figure skater)",""
"岡澤セオン","冈泽塞恩","Sewon Okazawa",""
"北野祐秀","北野祐秀","Yushu Kitano",""
"土屋圭市","土屋圭市","Keiichi Tsuchiya",""
"大来佐武郎","大来佐武郎","Saburo Okita",""
"コング桑田","孔骨桑田","Kong Kuwata",""
"安田美沙子","安田美沙子","Misako Yasuda",""
"宮原美穂","宫原美穗","Miho Miyahara",""
"宝野アリカ","宝野亚莉华","Arika Takarano",""
"小谷城","小谷城","Odani Castle",""
"ニナー賢治","尼纳贤治","Kenji Nener",""
"島倉千代子","岛仓千代子","Chiyoko Shimakura",""
"戸田恵子","户田惠子","Keiko Toda",""
"望月義夫","望月义夫","Yoshio Mochizuki",""
"本因坊元丈","本因坊元丈","Hon'inbō Genjō",""
"松橋力蔵","松桥力藏","Rikizo Matsuhashi",""
"梶井基次郎","梶井基次郎","Motojirō Kajii",""
"梶山広司","梶山广司","Hiroshi Kajiyama (gymnast)",""
"森島寛晃","森岛宽晃","Hiroaki Morishima",""
"水上勉","水上勉","Tsutomu Mizukami",""
"浜野謙太","滨野谦太","Kenta Hamano",""
"生瀬勝久","生濑胜久","Katsuhisa Namase",""
"稲盛和夫","稻盛和夫","Kazuo Inamori",""
"竹内栖鳳","竹内栖凤","Takeuchi Seihō",""
"篠塚良雄","筿冢良雄","Yoshio Shinozuka",""
"緒方貞子","绪方贞子","Sadako Ogata",""
"羅馬浴場 (電影)","罗马浴场 (电影)","Thermae Romae (film)",""
"長濱ねる","长滨祢留","Neru Nagahama",""
"黒木メイサ","黑木美沙","Meisa Kuroki",""
"ミックス。","乒乓情人梦","Mixed Doubles (2017 film)",""
"伊東大貴","伊东大贵","Daiki Ito",""
"依田勉三","依田勉三","Yoda Benzō",""
"勝野洋","胜野洋","Hiroshi Katsuno",""
"たったひとつの恋","唯一的爱","Love of My Life (Japanese TV series)",""
"大沼贤治","大沼贤治","Kenji Onuma",""
"太田宏介","太田宏介","Kosuke Ota",""
"小松姫","小松姬","Komatsuhime",""
"山口県第4区","山口县第4区","Yamaguchi 4th district",""
"成田剣","成田剑","Ken Narita",""
"ヤン・コック・ブロンホフ","扬·科克·布洛霍夫","Jan Cock Blomhoff",""
"木ノ本嶺浩","木之本岭浩","Minehiro Kinomoto",""
"本因坊丈策","本因坊丈策","Hon'inbō Jōsaku",""
"本因坊秀哉","本因坊秀哉","Hon'inbō Shūsai",""
"村越優汰","村越优汰","Yuta Murakoshi",""
"松平健","松平健","Ken Matsudaira",""
"森岡栄治","森冈荣治","Eiji Morioka",""
"森山裕","森山裕","Hiroshi Moriyama",""
"楠田香穂里","楠田香穗里","Kaori Kusuda",""
"満島真之介","满岛真之介","Shinnosuke Mitsushima",""
"瓦力","瓦力 (政治人物)","Riki Kawara",""
"皆藤愛子","皆藤爱子","Aiko Kaitou",""
"矢野奨吾","矢野奖吾","Shōgo Yano",""
"石破二朗","石破二朗","Jirō Ishiba",""
"福田康夫内閣","福田康夫内阁","Yasuo Fukuda cabinet",""
"若杉遥","若杉遥","Haruka Wakasugi",""
"菅井えり","菅井爱里","Eri Sugai",""
"西政治","西政治","Masaharu Nishi",""
"谷真一郎","谷真一郎","Shinichiro Tani",""
