"korean","chinese","english","gender"
"장대환","张大焕","Chang Dae-whan",""
"장현승","张贤胜","Jang Hyun-seung",""
"서삼석","徐参锡","",""
"성한국","成汉国","Sung Han-kook",""
"리멤버 (2022년 영화)","我记得 (2022年电影)","Remember (2022 film)",""
"문보령","文宝玲","",""
"문승원","文升元","",""
"박시현 (가수)","朴是炫","",""
"박주현 (1994년)","朴柱炫","Park Ju-hyun",""
"박찬종 (축구 선수)","朴灿钟","Park Chan-jong (footballer)",""
"권영준 (펜싱 선수)","权永晙","Kweon Young-jun",""
"이완용","李完用","Yi Wanyong",""
"이응복","李应福","Lee Eung-bok",""
"심은하","沈银河","Shim Eun-ha",""
"홍창기","洪昌基","Hong Chang-ki",""
"홍치중","洪致中","Hong Chi-jung",""
"금새록","琴世禄","Keum Sae-rok",""
"신동엽 (희극인)","申东烨","Shin Dong-yup (comedian)",""
"백현만","白贤万","Baik Hyun-man",""
"채서진","蔡舒辰","Chae Seo-jin",""
"훈민정음","训民正音","Hunminjeongeum",""
"정성희 (작가)","郑成熙","",""
"정한용","郑汉溶","Jung Han-yong",""
"김일우 (1963년)","金日宇","Kim Il-woo (actor, born 1963)",""
"김영철 (배우)","金永哲 (1953年)","Kim Yeong-cheol (actor)",""
"김수안 (2006년)","金秀安","Kim Su-an",""
"민룡","闵龙","Min Ryoung",""
"위하준","魏化俊","Wi Ha-joon",""
"황영희","黄英熙","Hwang Young-hee",""
"틀:뷔","Template:V (防弹少年团)","Template:V (singer)",""
"GYM 엔터테인먼트","G.Y.M娱乐","",""
"What Is Love? (트와이스의 노래)","What is Love? (TWICE歌曲)","What Is Love? (Twice song)",""
"휴닝바히에","休宁巴伊叶","",""
"오하나","吴荷娜","Oh Ha-na",""
"강병택","姜秉泽","",""
"강의석 (1986년)","姜义锡","Kang We-suck",""
"시온 (가수)","孙东柱","",""
"윤지오","尹地旿","",""
"장위안 (방송인)","张玉安","Zhang Yu'an",""
"서일준","徐一俊","",""
"성지현","成池铉","Sung Ji-hyun",""
"소율","昭燏","",""
"주민진","朱敏真","Joo Min-jin",""
"박형수 (배우)","朴亨洙","Park Hyung-soo",""
"박효주","朴孝珠","Park Hyo-joo",""
"박용진 (정치인)","朴用镇","Park Yong-jin",""
"박미경 (가수)","朴美京","",""
"이태곤 (연출가)","李太坤 (导演)","",""
"이윤형 (1979년)","李尹馨","Lee Yoon-hyung",""
"이시애","李施爱","Yi Siae",""
"이명재 (축구 선수)","李明载","Lee Myung-jae",""
"이해인 (1994년)","李海印","Lee Hae-in (singer)",""
"이숙자","李淑子","Lee Sook-ja",""
"류덕환","柳德焕","Ryu Deok-hwan",""
"류승수","柳承秀","Ryu Seung-soo",""
"홍성국","洪性国","",""
"홍성우 (1941년)","洪性宇 (1941年)","Hong Sung-woo",""
"신승훈","申升勋","Shin Seung-hun",""
"채국희","蔡国熙 (演员)","",""
"허정은","许廷恩","Heo Jung-eun",""
"정태우","郑泰祐","Jung Tae-woo",""
"김윤식 (야구 선수)","金允植 (棒球运动员)","",""
"김승화","金承禾","",""
"김영하 (소설가)","金英夏","Kim Young-ha",""
"김채원 (2000년)","金采源","Kim Chaewon",""
"민서현","闵书贤","",""
"정국공신","靖国功臣","",""
"현우","显祐","Hyun Woo",""
"고경표","高庚杓","Ko Kyung-pyo",""
"틀:조선 국왕","Template:朝鲜国王","",""
"HAM (음악 그룹)","HAM (组合)","",""
"넬 (밴드)","Nell (乐团)","Nell (band)",""
"구가의 서","九家之书","Gu Family Book",""
"전인택","全仁泽","",""
"남현희","南贤喜","Nam Hyun-hee",""
"강지욱","姜志旭","Kang Ji-wook",""
"손영목 (작가)","孙永穆","",""
"윤경아","尹景雅","Yoon Kyung-ah",""
"윤서현","尹瑞贤","",""
"최두선","崔斗善","Choi Tu-son",""
"문희 (가수)","崔玟熙","",""
"현비 권씨","恭献贤妃","Consort Gwon (Ming dynasty)",""
"나는 왕이로소이다","我是王","I Am the King",""
"조정치","曹政治","Jo Jung-chi",""
"박성근 (배우)","朴成根","",""
"박재범 (작가)","朴才范","Park Jae-beom",""
"박지수 (농구 선수)","朴智修","Park Ji-su",""
"박정상","朴正祥","Park Jung-sang",""
"박제가","朴齐家","Pak Chega",""
"이성종","李成种","Lee Seong-jong",""
"이경규","李敬揆","Lee Kyung-kyu",""
"이청용","李青龙","Lee Chung-yong",""
"심영성","沈永星","Shim Young-sung",""
"홍성원 (배우)","洪性圆","",""
"홍원기 (야구인)","洪源基","",""
"무진성","无真星","Mu Jin-sung",""
"장미여관","玫瑰旅馆","",""
"신동근","申东根","Shin Dong-kun",""
"신동 (가수)","神童 (艺人)","Shindong",""
"배유람","裴侑蓝","Bae Yoo-ram",""
"차청화","车清华","Cha Chung-hwa",""
"정종 (영양위)","郑悰","",""
"김일경 (1662년)","金一镜","",""
"김남춘","金南春","Kim Nam-chun",""
"김건우 (배우)","金建宇","Kim Gun-woo",""
"김병기 (1961년)","金炳基 (1961年)","Kim Byung-kee",""
"김용판","金用判","",""
"김범수 (1995년)","金范洙 (1995年)","",""
"황인범","黄仁范","Hwang In-beom",""
"걸크러쉬","Girl Crush (韩国女子团体)","",""
"강예서","姜睿序","Kang Ye-seo",""
"안평대군","安平大君","Grand Prince Anpyeong",""
"최고 (배우)","崔高","Choi Go",""
"장자연","张紫妍","Jang Ja-yeon",""
"문지윤","文智允","Moon Ji-yoon",""
"조태근","曹泰根","Jo Tae-keun",""
"박보검","朴宝剑","Park Bo-gum",""
"박성연 (배우)","朴晟延","Park Sung-yeon",""
"이엄지","李严智","",""
"이규민","李圭闵","",""
"이수성 (1939년)","李寿成 (韩国)","Lee Soo-sung",""
"이성욱 (배우)","李成旭","Lee Sung-wook",""
"이창훈 (1966년)","李昌勋","Lee Chang-hoon (actor)",""
"이호철 (배우)","李浩哲","",""
"이희두","李熙斗","",""
"이상민 (야구 선수)","李相旼 (棒球运动员)","",""
"이석문 (1959년)","李硕文","",""
"이범영","李范永","Lee Bum-young",""
"이라진","李罗振","Lee Ra-jin",""
"이화선","李花善","",""
"현홍주","玄鸿柱","Hyun Hong-choo",""
"옥택연","玉泽演","Ok Taec-yeon",""
"전봉민","田奉珉","",""
"신능균","申奈舜","Nelson Shin",""
"신동우 (배우)","申东佑 (演员)","Shin Dong-woo (actor)",""
"옹주 (칭호)","翁主","",""
"조문주","赵文珠","Cho Mun-chu",""
"조우리","赵友利","Jo Woo-ri",""
"정우영 (1999년)","郑优营","Jeong Woo-yeong",""
"정하나","郑河娜","Jung Ha-na",""
"정유민 (치어리더)","郑釉敏","",""
"김상흔","金尚欣","",""
"김성균 (배우)","金成均","Kim Sung-kyun",""
"김민서 (1984년)","金旼序","Kim Min-seo",""
"김정욱 (1980년)","金正旭","",""
"김보경 (축구 선수)","金甫炅","Kim Bo-kyung",""
"김영훈 (1968년)","金荣训","Kim Young-hoon (politician)",""
"진세연","陈世娫","Jin Se-yeon",""
"진주형","陈柱亨","Jin Ju-hyung",""
"한다경","韩茶景","Han Da-kyung",""
"마은혁","马恩赫","",""
"황정민 (여자 배우)","黄汀旼","",""
"틀:대한민국의 광역자치단체장","Template:韩国一级行政区首长","",""
