"korean","chinese","english","gender"
"대한민국 국군의 베트남 전쟁 참전","韩国参战越南战争","South Korea in the Vietnam War",""
"한지현 (배우)","韩智贤","Han Ji-hyun",""
"JK 김동욱","JK 金东昱","JK Kim Dong-wook",""
"삼성자산운용","三星资产管理","Samsung Asset Management",""
"원진아","元真儿","Won Jin-ah",""
"사계의 봄","四季之春","Spring of Youth (TV series)",""
"데니 안","安信源","Danny Ahn",""
"안은진","安恩真 (1991年)","Ahn Eun-jin",""
"안현범","安铉范","Ahn Hyeon-beom",""
"최동환","崔东焕","",""
"숙의 문씨 (영조)","废淑仪文氏","",""
"서우진 (2015년)","徐宇真","Seo Woo-jin",""
"문정희 (배우)","文晶熙","Moon Jeong-hee",""
"문예원","文艺媛","Moon Ye-won",""
"조오섭","曹五燮","",""
"박건욱","朴干旭","",""
"박지수 (1988년)","朴芝秀","Park Ji-soo (actress)",""
"이주현 (1976년)","李周炫","",""
"효은","李孝恩","",""
"이헌승","李宪升","",""
"이민성","李敏成","Lee Min-sung",""
"이민호 (1987년)","李敏镐","Lee Min-ho",""
"이순원 (배우)","李淳元","Lee Soon-won (actor)",""
"이홍광","李红光","",""
"이언 (배우)","李言","Lee Eon",""
"이현중 (농구 선수)","李贤重","Lee Hyun-jung (basketball)",""
"이종석 (배우)","李钟奭","Lee Jong-suk",""
"유일한","柳一韩","Ilhan New",""
"장주주","江铸久","Jiang Zhujiu",""
"심온","沈温","Sim On",""
"훙커우 공원 사건","虹口公园爆炸事件","Hongkou Park Incident",""
"조용필","赵容弼","Cho Yong-pil",""
"조남국","赵南国","",""
"조현영","赵贤荣","",""
"정진운","郑珍云","Jeong Jin-woon",""
"김원형","金圆衡","Kim Won-hyong",""
"김용화 (영화 감독)","金容华","Kim Yong-hwa",""
"김도연 (가수)","金度延","Kim Do-yeon (singer)",""
"김혜민 (바둑 기사)","金惠敏 (棋手)","",""
"김창수 (축구인)","金昌洙","Kim Chang-soo",""
"김성근 (야구인)","金星根","Kim Sung-keun",""
"김남진","金男珍","Kim Nam-jin",""
"김영남 (다이빙 선수)","金荣南","Kim Yeong-nam (diver)",""
"선우은숙","鲜于银淑","Sunwoo Eun-sook",""
"황선우 (수영 선수)","黄宣优","Hwang Sun-woo",""
"페이버릿 (음악 그룹)","Favorite (女子组合)","Favorite (group)",""
"정미칠적","丁未七贼","",""
"삼성화재배 월드 바둑마스터스","三星车险杯世界围棋大师赛","Samsung Fire Cup",""
"남이","南怡","",""
"맹상훈","孟床训","Maeng Sang-hoon",""
"손성득","孙承德","",""
"우주소녀의 음반 목록","宇宙少女音乐作品列表","WJSN discography",""
"안지만","安志晚","An Ji-man",""
"송상현 (1941년)","宋相现","Song Sang-hyun",""
"최대훈","崔代勋","Choi Dae-hoon",""
"강경화","康京和","Kang Kyung-wha",""
"장연학","张渊鹤","Jang Yeon-hak",""
"조승아","曹承亚","",""
"박해민","朴海旻","Park Hae-min",""
"이정진","李廷镇","Lee Jung-jin",""
"이승훈 (스피드스케이팅 선수)","李承勋 (速度滑冰运动员)","Lee Seung-hoon (speed skater)",""
"이영구 (바둑 기사)","李映九","Lee Young-gu",""
"이경석 (1595년)","李景奭","",""
"이진우 (2004년)","李津宇","",""
"이미래 (치어리더)","李美来","",""
"이영은 (2004년)","李英恩 (2004年)","",""
"양희경","杨姬琼","Yang Hee-kyung",""
"권수현 (배우)","权秀贤","Kwon Soo-hyun (actor)",""
"심지호","沈志浩","Shim Ji-ho",""
"신원호 (연출가)","申沅昊","Shin Won-ho (director)",""
"우원식","禹元植","Woo Won-shik",""
"키스 먼저 할까요","要先接吻吗？","Should We Kiss First?",""
"언론통폐합","言论统废合","Policy for Merger and Abolition of the Press",""
"허준석","许俊硕","",""
"핫펠트","誉恩","Park Ye-eun",""
"조인표","赵仁表","",""
"곽시양","郭时旸","Kwak Si-yang",""
"정해영 (2001년)","郑海英","",""
"정주연","郑珠妍","",""
"효연","金孝渊","Hyoyeon",""
"김유석","金庾石","Kim Yu-seok",""
"김혜준","金慧峻","Kim Hye-jun",""
"김승욱","金承旭","",""
"김석훈 (1972년)","金锡勋","Kim Suk-hoon",""
"김용대 (축구인)","金龙大","Kim Yong-dae (footballer)",""
"한동훈","韩东勋","Han Dong-hoon",""
"대한민국 대법원장","韩国大法院院长","Chief Justice of the Supreme Court of Korea",""
"한미 자유 무역 협정","韩美自由贸易协定","United States–Korea Free Trade Agreement",""
"고건한","高健汉","Go Geon-han",""
"황지현","黄智贤 (1983年)","",""
"틀:CLC","Template:CLC (组合)","Template:CLC (group)",""
"틀:위에화 엔터테인먼트","Template:乐华娱乐","",""
"AROUND THE WORLD (GOT7의 노래)","Around the World (GOT7歌曲)","Around the World (Got7 song)",""
"전봉준","全琫准","Jeon Bong-jun",""
"공원소녀","公园少女","GWSN",""
"구영회","具英会","Younghoe Koo",""
"노도희","卢都熹","Noh Do-hee",""
"귀여니","可爱淘","Guiyeoni",""
"손나은","孙娜恩","Son Na-eun",""
"자이로 (가수)","安重载","",""
"유빈","宥斌","Kim Yu-bin",""
"윤보라","尹宝拉","Yoon Bo-ra",""
"최진실","崔真实","Choi Jin-sil",""
"최소율","崔素律","",""
"장녹수","张绿水","Chang Noksu",""
"강예원","强艺元","Kang Ye-won",""
"성훈 (배우)","成勋","Sung Hoon (actor)",""
"예종 (조선)","朝鲜睿宗","Yejong of Joseon",""
"바이퍼 (프로게이머)","朴到贤","",""
"박문규 (1906년)","朴文奎","Pak Mun-gyu",""
"박새별","朴新星","Park Sae-byul",""
"이신재","李信宰","",""
"이광수 (배우)","李光洙 (演员)","Lee Kwang-soo",""
"이재훈 (연출가)","李在勋","",""
"이진영 (1980년)","李晋暎","Lee Jin-young",""
"이동욱 (배우)","李栋旭","Lee Dong-wook",""
"이수연 (작가)","李秀妍","",""
"이혁","李赫 (艺人)","",""
"류화영","柳和荣","Ryu Hwa-young",""
"유연미","柳妍美","Yoo Yeon-mi",""
"유성원","柳诚源","Yu Sŏngwŏn",""
"양승태","梁承泰","Yang Sung-tae",""
"허문도","许文道","",""
"조명철","赵明哲 (脱北者)","Cho Myung-chul",""
"정호연","郑好娟","Jung Ho-yeon",""
"정민아 (배우)","郑敏雅","Jung Min-ah",""
"정두경","郑斗卿","",""
"김기현 (성우)","金基贤 (演员)","Kim Ki-hyeon",""
"김사은","金思垠","",""
"김민규 (1994년)","金旻奎 (1994年)","Kim Min Gue",""
"김염","金焰","Jin Yan",""
"김현주 (1977년)","金贤珠","Kim Hyun-joo",""
"진형욱","陈亨旭","Jin Hyung-wook",""
"고영인","高永寅","",""
"더 글로리","黑暗荣耀","The Glory (TV series)",""
"다니엘 (2005년)","Danielle (歌手)","Danielle (singer)",""
"싸이6甲 Part 1","PSY 6甲 Part.1","Psy 6 (Six Rules), Part 1",""
"스타제이 엔터테인먼트","Star J娱乐","",""
"삼성생명보험","三星生命保险","Samsung Life Insurance",""
"형원","亨愿","Hyungwon",""
"구준회","具俊会","Koo Jun-hoe",""
"위기일발 풍년빌라","危机一发丰年公寓","Golden House (TV series)",""
"강경식 (1936년)","姜庆植","",""
"강희제 (배우)","姜熙济","",""
"안창호","安昌浩","Ahn Chang Ho",""
"송지인","宋智因","",""
"최은경 (쇼트트랙 선수)","崔恩景","Choi Eun-kyung",""
"정효정","政孝正","Jung Hyo-jung",""
"문국현","文国现","Moon Kook-hyun",""
"이지란","李之兰","",""
"주헌","李周宪","Joohoney",""
"이규완","李圭完","Yi Kyuwan",""
"이개","李垲","Yi Kae",""
"이천수","李天秀 (南韩)","Lee Chun-soo",""
"이재원 (1988년)","李宰元","Lee Jae-won (baseball)",""
"이지안 (미스코리아)","李恩熙","",""
"이경희 (체조인)","李敬姬","Li Gyong-hui",""
"이명박","李明博","Lee Myung-bak",""
"이윤택","李润泽","Lee Youn-taek",""
"이주희 (치어리더)","李珠熙","",""
"이상준 (배우)","李相俊 (1998年)","Lee Sang-jun (actor)",""
"이소연 (공학자)","李素妍 (宇航员)","Yi So-yeon",""
"동하 (배우)","东夏 (演员)","Dong Ha (actor)",""
"임윤호","林允浩","Lim Yoon-ho",""
"유성훈","柳成勋","",""
"유병재","柳炳宰","Yoo Byung-jae",""
"유진 (가수)","柳真","Eugene (actress)",""
"유흥수","柳兴洙","",""
"신다은","申多恩","Shin Da-eun",""
"백윤식","白润植","Baek Yoon-sik",""
"대한민국 제3공화국","第三共和国 (大韩民国)","Third Republic of Korea",""
"조호성","赵浩成","Cho Ho-sung",""
"도경동 (펜싱 선수)","都庆东","Do Gyeong-dong",""
"김채연 (피겨스케이팅 선수)","金彩然","Kim Chae-yeon (figure skater)",""
"김지원 (배드민턴 선수)","金志垣","Kim Ji-won (badminton)",""
"김찬형 (배우)","金灿亨","",""
"김영미 (컬링 선수)","金荣美","Kim Yeong-mi",""
"김종인","金钟仁 (政治人物)","Kim Chong-in",""
"김여진","金丽珍","Kim Yeo-jin",""
"황영조","黄永祚","Hwang Young-cho",""
"틀:박찬욱","Template:朴赞郁","Template:Park Chan-wook",""
"차윤지","I (歌手)","I (singer)",""
"더킹덤","KINGDOM (韩国音乐团体)","The KingDom",""
"LG화학","LG化学","LG Chem",""
"류경수 (배우)","刘庆秀","Ryu Kyung-soo",""
"남인순","南仁顺","Nam In-soon",""
"남덕우","南悳祐","Nam Duck-woo",""
"오충환 (연출가)","吴忠焕","Oh Chung-hwan",""
"오창석","吴昶锡","Oh Chang-seok",""
"오연서","吴涟序","Oh Yeon-seo",""
"원진 (가수)","咸元进","",""
"엄정화","严正化","Uhm Jung-hwa",""
"강희찬 (탁구 선수)","姜熙灿","Kang Hee-chan",""
"로시 (가수)","姜珠喜","Rothy",""
"강상준 (뮤지컬 배우)","姜相准","Kang Sang-jun",""
"손승모","孙升模","Shon Seung-mo",""
"최덕신","崔德新","Choe Deok-sin",""
"최윤아 (1985년)","崔轮我","Choi Youn-ah",""
"찾았다 스트레이 키즈","找到了Stray Kids","",""
"문가영","文佳煐","Moon Ga-young",""
"박혜원 (쇼트트랙 선수)","朴慧园","Park Hye-won",""
"이숙번","李叔蕃","",""
"이주형 (체조 선수)","李周炯","Lee Joo-hyung",""
"이기혁 (배우)","李基赫","Lee Ki-hyuk",""
"이강 (축구 선수)","李强 (1992年)","",""
"이지민 (작가)","李智敏","",""
"이민진 (바둑 기사)","李玟真","Lee Min-jin",""
"임호 (배우)","林湖","Im Ho",""
"권해성","权海成","",""
"신승찬","申升瓒","Shin Seung-chan",""
"조정훈 (1972년)","赵廷训","Cho Jung-hun",""
"조병규 (배우)","赵炳圭","Jo Byeong-kyu",""
"정은우 (배우)","郑恩宇","Jung Eun-woo",""
"정의석 (배드민턴 선수)","郑义锡","",""
"김희철 (가수)","金希澈","Kim Hee-chul",""
"금지현","金智贤 (射击运动员)","Keum Ji-hyeon",""
"김동한 (가수)","金东汉","Kim Dong-han",""
"김미숙 (배우)","金美淑","Kim Mi-sook",""
"종현","钟铉","Jonghyun",""
"한가인","韩佳人","Han Ga-in",""
"고규필","高圭弼","Ko Kyu-pil",""
"틀:인천광역시장","Template:仁川广域市长","",""
"2021년 서울특별시장 보궐선거","2021年首尔市长补选","",""
"빅뱅의 수상 및 후보 목록","BIGBANG获奖与提名列表","List of awards and nominations received by BigBang",""
"러블리즈의 음반 목록","Lovelyz音乐作品列表","Lovelyz discography",""
"엠에스팀엔터테인먼트","MSteam娱乐","",""
"MXM (음악 그룹)","MXM (男子音乐组合)","MXM (musical duo)",""
"팬 엔터테인먼트","Pan娱乐","Pan Entertainment",""
"슈퍼주니어의 음반 외 활동 목록","Super Junior影视作品列表","Super Junior filmography",""
"원성진","元晟溱","Won Seong-jin",""
"원석연 (배우)","元锡渊","",""
"총몇명","几厘米","",""
"대전광역시장","大田广域市长","Mayor of Daejeon",""
"강타","安七炫","Kangta",""
"최예나","崔叡娜","Choi Ye-na",""
"최창식 (군인)","崔昌植","",""
"최수인","崔秀仁","Choi Soo-in",""
"주권 (야구 선수)","朱权 (棒球选手)","Ju Kwon",""
"박제순","朴齐纯","Pak Chesun",""
"이선호 (배우)","李善镐","Lee Seon-ho",""
"이대명","李大明 (射击运动员)","Lee Dae-myung",""
"이종호 (축구인)","李宗浩","Lee Jong-ho (footballer, born 1992)",""
"이동준 (1997년)","李东俊","Lee Dong-jun (footballer)",""
"이해찬","李海瓒","Lee Hae-chan",""
"이민희 (핸드볼 선수)","李珉姬","Lee Min-hee",""
"임승대","林丞大","",""
"임도화","林到婲","Im Do-hwa",""
"양지인","梁智仁 (射击运动员)","Yang Ji-in",""
"지석진","池锡辰","Jee Seok-jin",""
"하동균","河东均","Ha Dong-kyun",""
"홍경표","洪坰杓","Hong Kyung-pyo",""
"배현진","裴贤镇","Bae Hyun-jin",""
"조현철 (배우)","赵贤哲","Cho Hyun-chul",""
"차영현","车荣玹","",""
"정선민","郑先民","Jung Sun-min",""
"정애리","郑爱利","Jung Ae-ri",""
"클래지콰이 프로젝트","酷懒之味","Clazziquai Project",""
"김리나 (1985년)","金利娜 (演员)","",""
"김주영 (1961년)","金周暎","",""
"김옥균","金玉均","Kim Okkyun",""
"김진우 (연출가)","金珍佑","",""
"김현철 (가수)","金贤哲","",""
"김한나 (치어리더)","金韩拿","",""
"한명숙","韩明淑","Han Myeong-sook",""
"소유 (가수)","韶宥","Soyou",""
"틀:방탄소년단","Template:防弹少年团","Template:BTS",""
"호피폴라","Hoppipolla (乐团)","Hoppipolla (band)",""
"카카오엔터테인먼트","Kakao娱乐","Kakao Entertainment",""
"반짝반짝 빛나는 (드라마)","一闪一闪亮晶晶 (韩国电视剧)","Twinkle Twinkle (TV series)",""
"전계대원군","全溪大院君","Jeongye Daewongun",""
"전도연","全道嬿","Jeon Do-yeon",""
"조미 (가수)","周觅","Zhou Mi",""
"하니 (대한민국의 가수)","哈妮","Hani (singer)",""
"최민희 (1960년)","崔敏姬","Choi Min-hee",""
"장훈","张本勋","Isao Harimoto",""
"장영철 (작가)","张英哲","Jang Young-chul",""
"방수현","方铢贤","Bang Soo-hyun",""
"주요한","朱耀翰","Chu Yo-han",""
"박상혁 (1973년)","朴商赫","Park Sang-hyuk",""
"박영린","朴荣邻","Park Young-rin",""
"박찬미 (농구 선수)","朴赞美","Park Chan-mi",""
"이주연 (1987년)","李周妍","Lee Joo-yeon",""
"이주환 (1967년)","李周桓","",""
"이다윗","李大卫 (演员)","Lee David",""
"이혜진 (자전거 경기 선수)","李惠珍 (自行车运动员)","Lee Hye-jin",""
"이호 (1984년)","李浩 (1984年)","Lee Ho (footballer, born 1984)",""
"이형철 (배우)","李炯喆","Lee Hyung-chul",""
"이미주","李美珠","Mijoo",""
"이진욱","李阵郁","Lee Jin-wook",""
"은수미","殷秀美","Eun Soo-mi",""
"신동민 (쇼트트랙 선수)","申东珉","Shin Dong-min",""
"백년설","白年雪","",""
"신의왕후","神懿王后","Queen Sinŭi",""
"로맨스는 별책부록","罗曼史是别册附录","Romance Is a Bonus Book",""
"허남준","许楠俊","Heo Nam-jun",""
"정지현 (레슬링 선수)","郑智铉","Jung Ji-hyun",""
"정수정","郑秀晶","Krystal Jung",""
"김관영","金宽永","",""
"김정난","金正兰","Kim Jung-nan",""
"김민기 (1990년)","金玟基","Kim Min-ki (footballer)",""
"김흥동 (연출가)","金兴东","",""
"김초엽","金草叶","",""
"김하윤 (유도 선수)","金荷伦","Kim Ha-yun (judoka)",""
"김석주","金锡胄","Kim Seok-ju",""
"정석비행장","静石飞行场","Jeongseok Airport",""
"한효주","韩孝周","Han Hyo-joo",""
"마의 (드라마)","马医","The King's Doctor",""
"황우슬혜","黄雨瑟惠","Hwang Woo-seul-hye",""
"BLACKPINK의 수상 및 후보 목록","BLACKPINK获奖与提名列表","List of awards and nominations received by Blackpink",""
"커넥트 엔터테인먼트","KONNECT娱乐","Konnect Entertainment",""
"임기홍","任基鸿","",""
"전하영 (펜싱 선수)","全河英","Jeon Ha-young",""
"유소영","刘小英","Yoo So-young",""
"강해원 (배드민턴 선수)","姜解元","Kang Hae-won",""
"마담 앙트완","安托万夫人","Madame Antoine: The Love Therapist",""
"윤덕영","尹德荣","",""
"최용건","崔庸健","Choe Yong-gon (official)",""
"장재근","张在根","Jang Jae-keun",""
"장준하","张俊河","Chang Chun-ha",""
"장동우","张东雨","Jang Dong-woo",""
"서이라","徐怡拉","Seo Yi-ra",""
"너를 기다린다","我在等你","Waiting, Still",""
"지현우","智铉寓","Ji Hyun-woo",""
"헌종 (조선)","朝鲜宪宗","Heonjong of Joseon",""
"박선호 (1934년)","朴善浩","",""
"박희순","朴喜洵","Park Hee-soon",""
"박하나","朴荷娜","Park Ha-na",""
"이원욱","李元旭","",""
"이전 (1517년)","李戬","",""
"이창환 (배우)","李昌焕","",""
"유아라","柳娥罗","Yoo Ara",""
"류은희","柳殷僖","Ryu Eun-hee",""
"양수경","梁秀敬","",""
"홍지민","洪智敏","",""
"호암미술관","湖岩美术馆","Ho-Am Art Museum",""
"신보라","申宝拉","Shin Bo-ra",""
"우장춘","禹长春","Woo Jang-chun",""
"허영 (정치인)","许荣 (1970年)","",""
"조형기","赵炯基","",""
"조우진 (배우)","赵祐镇","Jo Woo-jin (actor)",""
"신애라","辛爱罗","Shin Ae-ra",""
"정유라 (승마 선수)","郑维罗","Chung Yoo-ra",""
"정동원","郑东元","Jeong Dong-won",""
"김나영 (방송인)","金娜怜","Kim Na-young (television personality)",""
"김혜윤","金惠奫","Kim Hye-yoon",""
"김민서 (배드민턴인)","金敏序","Kim Min-seo (badminton)",""
"유겸","金有谦","Yugyeom",""
"김동휘 (배우)","金东辉","Kim Dong-hwi",""
"김류 (1571년)","金瑬","",""
"김문희 (배드민턴 선수)","金纹希","Kim Moon-hi",""
"김정수 (작가)","金贞秀","",""
"고수희","高水熙","Go Soo-hee",""
"DSP 미디어","DSP媒体","DSP Media",""
"아이유의 음반 목록","IU音乐作品列表","IU discography",""
"정하담","丁夏潭","Jeong Ha-dam",""
"오늘 밤, 사쿠라 나무 아래에서","今夜，咲良树下","",""
"원빈 (2002년)","元彬 (韩国歌手)","",""
"변진섭","卞真燮","Byun Jin-sub",""
"강민국 (정치인)","姜旻局","",""
"김우진 (가수)","宇珍","Kim Woojin",""
"송덕호","宋德浩","Song Duk-ho",""
"종묘제례","宗庙祭礼 (朝鲜王朝)","Jongmyo jerye",""
"최우혁 (1985년)","崔宇革","Choi Woo-hyuk (actor, born 1985)",""
"장희재 (조선)","张希载","",""
"장미란","张美兰 (韩国)","Jang Mi-ran",""
"성시경","成始璄","Sung Si-kyung",""
"박형수 (1965년)","朴亨修","",""
"박강수 (정치인)","朴康洙","",""
"박성중","朴成重","",""
"이승로","李承鲁","",""
"이두용","李斗镛","Lee Doo-yong",""
"이종범","李钟范","Lee Jong-beom",""
"임창열","林昌烈","",""
"유일호","柳一镐","Yoo Il-ho",""
"류승완","柳承完","Ryoo Seung-wan",""
"권람","权擥","Kwŏn Ram",""
"태하 (1998년)","泰河 (MOMOLAND)","",""
"홍경주","洪景舟","",""
"호암상","湖岩奖","Ho-Am Prize",""
"현대자동차그룹","现代汽车集团","Hyundai Motor Group",""
"현대건설","现代建设","Hyundai Engineering and Construction",""
"김강민 (1995년)","金康民","Kim Kang-min (actor, born 1995)",""
"김지수 (1972년)","金志秀","Kim Ji-soo (actress, born 1972)",""
"김현우 (레슬링 선수)","金炫雨","Kim Hyeon-woo",""
"김민경 (1997년)","金珉炅","",""
"김수현의 작품 목록","金秀贤影视作品列表","Kim Soo-hyun filmography",""
"진선유","陈善有","Jin Sun-yu",""
"진지희","陈智熙","Jin Ji-hee",""
"한상훈 (바둑 기사)","韩尚勋","",""
"고아라","高雅罗","Go Ara",""
"틀:세븐틴","Template:Seventeen (组合)","Template:Seventeen (band)",""
"인열왕후","仁烈王后","Queen Inyeol",""
"전훈영","全勋英","Jeon Hun-young",""
"전수경","全秀景","Jeon Soo-kyeong",""
"노재현","卢载铉","Roh Jae-hyun",""
"함태영","咸台永","Ham Tae-young",""
"기성용","奇诚庸","Ki Sung-yueng",""
"안영수 (권투 선수)","安荣水","An Young-su",""
"윤세인","尹世仁","",""
"최윤칠","崔仑七","Choi Yoon-chil",""
"최수연","崔秀延","Choi Soo-yeon",""
"박인로","朴仁老","",""
"박창화","朴昌和","",""
"박영선 (정치인)","朴映宣","Park Young-sun",""
"박장혁","朴章爀","Park Jang-hyuk",""
"이윤정 (연출가)","李允贞","Lee Yoon-jung",""
"이시강","李时刚","",""
"이환희 (1998년)","李欢喜","",""
"이도은","李叶玺","",""
"이경진","李镜珍","Lee Kyung-jin",""
"홍비라","洪妃罗","Hong Bi-ra",""
"홍정민","洪贞敏","Hong Jung-min",""
"시티홀 (드라마)","熟女辛市长","The City Hall (TV series)",""
"남자가 사랑할 때 (2013년 드라마)","当男人恋爱时 (2013年电视剧)","When a Man Falls in Love",""
"노정의","卢正义 (演员)","Roh Jeong-eui",""
"노영학","卢英学","Noh Young-hak",""
"수애","秀爱","Soo Ae",""
"능원대군","绫原大君","Grand Prince Nŭngwŏn",""
"설훈","薛勋","Sul Hoon",""
"허웅 (농구 선수)","许雄","Heo Ung",""
"정순왕후 (조선 영조)","贞纯王后","Queen Jeongsun",""
"차수명","车秀明","",""
"김윤지 (배우)","金允智","Kim Yoon-ji",""
"김혜림 (가수)","金惠琳","",""
"김수연 (배우)","金秀妍","",""
"한다민","韩多敏","Han Da-min",""
"고미영 (산악인)","高美英","Go Mi-young",""
"노상현","鲁尚炫","Noh Sang-hyun",""
"황정민","黄晸珉","Hwang Jung-min",""
"틀:리사","Template:Lisa (泰国歌手)","Template:Lisa (rapper)",""
"틀:신화 (음악 그룹)","Template:神话 (组合)","Template:Shinhwa",""
"MC몽","MC梦","MC Mong",""
"스타잇엔터테인먼트","STARIT娱乐","",""
"원균","元均 (朝鲜)","Wŏn Kyun",""
"길건","吉健","",""
"오준호 (정치인)","吴准镐","",""
"오유진 (바둑 기사)","吴侑珍","",""
"봉재현","奉宰铉","Bong Jae-hyun",""
"손승연","孙胜妍","Son Seung-yeon",""
"안치환","安致焕","An Chi-hwan",""
"송하진","宋河珍","Song Ha-jin",""
"윤도현","尹度玹","Yoon Do-hyun",""
"윤치영","尹致暎","Yun Chi-young",""
"최우재","崔佑在","Choi Woo-jae",""
"최영희 (1921년)","崔荣喜","",""
"장신영","张伸瑛","Jang Shin-young",""
"장서연","张瑞妍 (演员)","",""
"문재인 정부","文在寅政府","",""
"신한국당","新韩国党","New Korea Party",""
"박준표","朴峻杓","",""
"박은석 (1984년)","朴殷硕","Park Eun-seok",""
"박종규 (1930년)","朴钟圭","",""
"이규형 (배우)","李奎炯","Lee Kyu-hyung",""
"이은주","李恩宙","Lee Eun-ju",""
"이혜경 (유도 선수)","李慧卿","Lee Hye-kyeong",""
"이문한 (1994년)","李汶翰","Li Wenhan",""
"이해우 (배우)","李海宇","",""
"이준영 (1997년)","李濬荣","Lee Jun-young",""
"이이첨","李尔瞻","",""
"이미경 (1958년)","李美敬","Miky Lee",""
"이휘성 (1988년)","李辉星","Fyodor Tertitskiy",""
"이인좌","李麟佐","",""
"유옥렬","柳玉烈","Yoo Ok-ryul",""
"영응대군","永膺大君","",""
"대한민국 제4공화국","第四共和国 (大韩民国)","Fourth Republic of Korea",""
"간미연","简美妍","Kan Mi-youn",""
"바니와 오빠들","芭妮与哥哥们","Crushology 101",""
"김규선","金奎善","Kim Gyu-seon",""
"김상환","金尙焕","Kim Sanghwan",""
"김경호 (가수)","金庆皓","Kim Kyung-ho",""
"황석호","黄锡镐","Hwang Seok-ho",""
"틀:대국남아","Template:大国男儿","Template:The Boss (band)",""
"틀:충청남도지사","Template:忠清南道知事","",""
"틀:이세계아이돌","Template:异世界女团","",""
"틀:나홍진","Template:罗泓轸","Template:Na Hong-jin",""
"엔 (1990년)","N (歌手)","N (singer)",""
"슬리피","Sleepy (韩国歌手)","Sleepy (rapper)",""
"전기영","全已盈","Jeon Ki-young",""
"강동윤","姜东润","Kang Dong-yun",""
"손보승","孙甫升","",""
"송영규","宋英奎","Song Young-gyu",""
"최재성 (배우)","崔宰诚","Choi Jae-sung",""
"팬텀싱어","幻影歌手","Phantom Singer",""
"장필준","张必峻","Jang Pill-joon",""
"서도영","徐道永","Seo Do-young",""
"신지민 (래퍼)","智珉","Shin Ji-min",""
"박미현 (배우)","朴美贤","",""
"이형근","李亨根","Lee Hyung-geun",""
"이금주 (치어리더)","李今珠","",""
"이회창","李会昌","Lee Hoi-chang",""
"이나경 (가수)","李娜炅","",""
"이경하 (조선)","李景夏","",""
"이해창 (조선귀족)","李海昌","",""
"디노 (가수)","李灿 (歌手)","Dino (South Korean singer)",""
"이민아 (축구 선수)","李玟娥","Lee Min-a",""
"이상희 (육군 군인)","李相熹","Lee Sang-hee (general)",""
"동평군","东平君","",""
"임혁","林赫","Im Hyuk",""
"류순정","柳顺汀","Yu Sunjŏng",""
"양기대","梁基大","",""
"권소현","权昭贤","Kwon So-hyun",""
"홍계희","洪启禧","Hong Gye-hui",""
"홍순영 (외교관)","洪淳瑛","Hong Soon-young",""
"신세휘","申世辉","Shin Se-hwi",""
"마타 (프로게이머)","赵世亨","",""
"차도진","车道镇","Cha Do-jin",""
"그해 여름","那年夏天","Once in a Summer",""
"정우영 (야구 선수)","郑又荣 (棒球运动员)","Jung Woo-young (baseball)",""
"정소영 (배드민턴 선수)","郑素英 (羽毛球运动员)","Chung So-young",""
"김봄소리","金本索里","Bomsori Kim",""
"김상우 (1994년)","金相佑 (韩国足球员)","Kim Sang-woo (footballer, born 1994)",""
"루아 (가수)","金秀璟","",""
"한지승","韩智承","",""
"고건","高建 (韩国)","Goh Kun",""
"고경준","高敬竣","Ko Kyung-joon",""
"황순영","黄顺英","",""
"대한민국 제11대 대통령 선거","1980年大韩民国总统选举","1980 South Korean presidential election",""
"홀리데이 (아이돌)","API (韩国组合)","",""
"KBS교향악단","KBS交响乐团","KBS Symphony Orchestra",""
"YG 보석함","YG宝石盒","",""
"남태현","南太铉","Nam Tae-hyun",""
"려운","厉云","Ryeoun",""
"오길남","吴吉男","Oh Kil-nam",""
"송주훈","宋株熏","Song Ju-hun",""
"윤두준","尹斗俊","Yoon Doo-joon",""
"윤찬영","尹灿荣","Yoon Chan-young",""
"최민호 (유도 선수)","崔敏浩","Choi Min-ho (judoka)",""
"장윤주","张允柱","Jang Yoon-ju",""
"장철민 (정치인)","张喆敏","",""
"경안군","庆安君","",""
"박상남","朴相南","Park Sang-nam",""
"이재욱 (1998년)","李宰煜","Lee Jae-wook",""
"이승배 (권투 선수)","李承培","Lee Seung-bae",""
"이창섭 (가수)","李昌燮","Lee Chang-sub",""
"이영덕 (1926년)","李荣德","Lee Yung-dug",""
"이상이 (남자 배우)","李相二","Lee Sang-yi (actor)",""
"이진혁 (1996년)","李镇赫 (艺人)","Lee Jin-hyuk",""
"권오중","权五重","Kwon Oh-joong",""
"심희섭","沈熙燮","",""
"홍수주 (배우)","洪秀珠","Hong Su-zu",""
"라미란","罗美兰","Ra Mi-ran",""
"채병용","蔡秉龙","Chei Byung-yong",""
"나인 퍼즐","血谜拼图","Nine Puzzles",""
"허정무","许丁茂","Huh Jung-moo",""
"원더풀스","超能路人甲","The Wonderfools",""
"조준","赵浚","",""
"조성준 (1948년)","赵诚俊","",""
"차화연","车和娟","Cha Hwa-yeon",""
"정재일","郑在日","Jung Jae-il",""
"정우","郑宇","Jung Woo",""
"정나은","郑那银","Jeong Na-eun",""
"김원해","金元海","Kim Won-hae",""
"김상헌","金尚宪","",""
"김민재 (배우)","金旻载","Kim Min-jae (actor, born 1996)",""
"김동혁 (가수)","金东赫","",""
"김계원","金桂元","",""
"김영환 (1955년)","金荣焕","Kim Young-hwan",""
"김종수 (1728년)","金钟秀","",""
