"japanese","chinese","romaji","gender"
"千葉真一","千叶真一","Sonny Chiba",""
"吉田裕幸","吉田裕幸","Hiroyuki Yoshida",""
"塚野真樹","冢野真树","Masaki Tsukano",""
"宮浦玲奈","宫浦玲奈","Rena Miyaura",""
"小塚崇彦","小冢崇彦","Takahiko Kozuka",""
"山崎理人","山崎理人","Masato Yamasaki",""
"染谷美佳","染谷美佳","Mika Someya",""
"浅尾美和","浅尾美和","Miwa Asao",""
"石井慧","石井慧","Satoshi Ishii",""
"ビクター・ガラテ","维克多·加拉特","Víctor Gárate",""
"菅野賢一","菅野贤一","Kenichi Sugano",""
"萩原美樹子","萩原美树子","Mikiko Hagiwara",""
"藤原良夫","藤原良夫","Yoshio Fujiwara",""
"西田吉洋","西田吉洋","Yoshihiro Nishida",""
"谷本歩実","谷本步实","Ayumi Tanimoto",""
"近藤陽子","近藤阳子","Yōko Kondō (ice hockey)",""
"鄭珉台","郑珉台","Chung Min-tae",""
"飯田高子","饭田高子","Takako Iida",""
"三澤興一","三泽兴一","Koichi Misawa",""
"上條有司","上条有司","Yuji Kamijo",""
"佐藤寿人","佐藤寿人","Hisato Satō",""
"南部忠平","南部忠平","Chūhei Nambu",""
"BLEACHの登場人物#浦原商店","四枫院夜一","List of Bleach characters#Yoruichi Shihōin",""
"垰畑亮太","垰畑亮太","Ryota Taohata",""
"尾崎将司","尾崎将司","Masashi Ozaki",""
"尾辻かな子","尾辻加奈子","Kanako Otsuji",""
"廣山望","广山望","Nozomi Hiroyama",""
"本橋麻里","本桥麻里","Mari Motohashi",""
"村田透","村田透","Toru Murata",""
"森山周","森山周","Makoto Moriyama",""
"沖宗敏彦","冲宗敏彦","Toshihiko Okimune",""
"相澤舞衣","相泽舞衣","Mai Aizawa (footballer)",""
"真殿益蔵","真殿益藏","Masuzo Madono",""
"立石諒","立石谅","Ryo Tateishi",""
"芹沢鴨","芹泽鸭","Serizawa Kamo",""
"ランディ・メッセンジャー","蓝迪·梅森杰","Randy Messenger",""
"藪恵壹","薮惠壹","Keiichi Yabu",""
"野田昇吾","野田升吾","Shōgo Noda",""
"金泰均 (1982年生の内野手)","金泰均 (1982年)","Kim Tae-kyun (baseball, born 1982)",""
"長嶋一茂","长嶋一茂","Kazushige Nagashima",""
"阪口夢穂","阪口梦穗","Mizuho Sakaguchi",""
"高森泰男","高森泰男","Yasuo Takamori",""
"鶴岡一人","鹤冈一人","Kazuto Tsuruoka",""
"上田拓馬","上田拓马","Takuma Ueda",""
"上野雅恵","上野雅惠","Masae Ueno",""
"佐々木誠 (野球)","佐佐木诚","Makoto Sasaki (baseball)",""
"加藤正明 (サッカー選手)","加藤正明","Masaaki Kato",""
"千代白鵬大樹","千代白鹏大树","Chiyohakuhō Daiki",""
"原辰徳","原辰德","Tatsunori Hara",""
"宮本輝紀","宫本辉纪","Teruki Miyamoto",""
"寺田周平","寺田周平","Shuhei Terada",""
"小林祐希","小林祐希","Yuki Kobayashi (footballer, born 1992)",""
"山下芳輝","山下芳辉","Yoshiteru Yamashita",""
"帆足和幸","帆足和幸","Kazuyuki Hoashi",""
"平沢周策","平泽周策","Shusaku Hirasawa",""
"我那覇和樹","我那霸和树","Kazuki Ganaha",""
"梵英心","梵英心","Eishin Soyogi",""
"樽野惠","樽野惠","Megumi Taruno",""
"浅村栄斗","浅村荣斗","Hideto Asamura",""
"犬夜叉 (架空の人物)","犬夜叉 (角色)","Inuyasha (character)",""
"田中大二郎","田中大二郎","Daijiro Tanaka",""
"白井淳","白井淳","Atsushi Shirai",""
"ロベルト・ペタジーニ","罗柏托·佩塔吉尼","Roberto Petagine",""
"遠藤孝弘","远藤孝弘","Takahiro Endo",""
"遠藤幸雄","远藤幸雄","Yukio Endō",""
"高木浩之","高木浩之","Hiroyuki Takagi",""
"北澤豪","北泽豪","Tsuyoshi Kitazawa",""
"大島僚太","大岛僚太","Ryota Oshima",""
"小倉隆史","小仓隆史","Takafumi Ogura",""
"小谷実可子","小谷实可子","Mikako Kotani",""
"工藤紀夫","工藤纪夫","Norio Kudo",""
"平井正史","平井正史","Masafumi Hirai",""
"野村正二郎","杉村正二郎","Shojiro Sugimura",""
"松代直樹","松代直树","Naoki Matsuyo",""
"河邉美穂","河边美穗","Miho Kawabe",""
"深田久弥","深田久弥","Kyūya Fukada",""
"田中哲也 (サッカー選手)","田中哲也","Tetsuya Tanaka (footballer)",""
"田嶋伸博","田嶋伸博","Nobuhiro Tajima",""
"竹腰重丸","竹腰重丸","Shigemaru Takenokoshi",""
"結城聡","结城聪","Yuki Satoshi",""
"近賀ゆかり","近贺由香里","Yukari Kinga",""
"関口訓充","关口训充","Kunimitsu Sekiguchi",""
"高松大樹","高松大树","Daiki Takamatsu",""
"上川徹","上川彻","Toru Kamikawa",""
"二岡智宏","二冈智宏","Tomohiro Nioka",""
"吉原宏太","吉原宏太","Kota Yoshihara",""
"名良橋晃","名良桥晃","Akira Narahashi",""
"大森晃太郎","大森晃太郎","Kotaro Omori",""
"小林大悟","小林大悟","Daigo Kobayashi",""
"岩村明憲","岩村明宪","Akinori Iwamura",""
"川上哲治","川上哲治","Tetsuharu Kawakami",""
"ラミロ・ペーニャ","拉米罗·佩尼亚","Ramiro Peña",""
"松山吉之","松山吉之","Yoshiyuki Matsuyama",""
"桐生祥秀","桐生祥秀","Yoshihide Kiryū",""
"梶野智幸","梶野智幸","Tomoyuki Kajino",""
"石井壮二郎","石井壮二郎","Sojiro Ishii",""
"米満達弘","米满达弘","Tatsuhiro Yonemitsu",""
"与那城ジョージ","与那城乔治","George Yonashiro",""
"藍染惣右介","蓝染惣右介","Sousuke Aizen",""
"野村武史","野村武史","Takeshi Nomura",""
"高橋尚子","高桥尚子","Naoko Takahashi",""
"上田春佳","上田春佳","Haruka Ueda",""
"二村昭雄","二村昭雄","Teruo Nimura",""
"伊藤紘平","伊藤纮平","Kohei Ito",""
"内川聖一","内川圣一","Seiichi Uchikawa",""
"古島清人","古岛清人","Kiyoto Furushima",""
"大竹利典","大竹利典","Risuke Otake",""
"安孫子充裕","安孙子充裕","Mitsuhiro Abiko",""
"小林優吾","小林优吾","Yugo Kobayashi",""
"山﨑康晃","山崎康晃","Yasuaki Yamasaki",""
"ブライアン・シコースキー","布莱恩·史柯斯基","Brian Sikorski",""
"成田正弘","成田正弘","Masahiro Narita",""
"本田拓也","本田拓也","Takuya Honda",""
"杉山加代子","杉山加代子","Kayoko Sugiyama",""
"東明有美","东明有美","Yumi Tomei",""
"松冈美保","松冈美保","Miho Matsuoka",""
"柳田悠岐","柳田悠岐","Yuki Yanagita",""
"森山輝久","森山辉久","Teruhisa Moriyama",""
"植村直己","植村直己","Naomi Uemura",""
"琴奨菊和弘","琴奖菊和弘","Kotoshōgiku Kazuhiro",""
"田中陽子 (サッカー選手)","田中阳子","Yoko Tanaka",""
"ミッチ・ライブリー","米奇·莱夫利","Mitch Lively",""
"カレン・ロバート","罗伯特·库伦","Robert Cullen (footballer)",""
"薊理絵","蓟理絵","Rie Azami",""
"藤川球児","藤川球儿","Kyuji Fujikawa",""
"藤本佑子","藤本佑子","Yuko Fujimoto",""
"谷井孝行","谷井孝行","Takayuki Tanii",""
"ルイス・デロスサントス (内野手)","路易士·德洛斯桑托斯","Luis de los Santos (first baseman)",""
"近藤台五郎","近藤台五郎","Daigoro Kondo",""
"上原エドウィン","上原埃德温","Edwin Uehara",""
"上本達之","上本达之","Tatsuyuki Uemoto",""
"二宮浩","二宫浩","Hiroshi Ninomiya (footballer, born 1969)",""
"伊東勤","伊东勤","Tsutomu Itō",""
"八田直樹","八田直树","Naoki Hatta",""
"加藤善之","加藤善之","Yoshiyuki Kato",""
"大村和市郎","大村和市郎","Waichiro Omura",""
"宮國椋丞","宫国椋丞","Ryosuke Miyaguni",""
"岸田真幸","岸田真幸","Masayuki Kishida",""
"嶋重宣","嶋重宣","Shigenobu Shima",""
"攝津正","摄津正","Tadashi Settsu",""
"朝井秀樹","朝井秀树","Hideki Asai",""
"本田圭佑","本田圭佑","Keisuke Honda",""
"森孝慈","森孝慈","Takaji Mori",""
"植木繁晴","植木繁晴","Shigeharu Ueki",""
"橋本雄二","桥本雄二","Yuji Hashimoto",""
"浜崎昌弘","滨崎昌弘","Masahiro Hamazaki",""
"碓井博行","碓井博行","Hiroyuki Usui",""
"華原朋美","华原朋美","Tomomi Kahara",""
"中村一義 (サッカー選手)","中村一义","Kazuyoshi Nakamura",""
"井幡博康","井幡博康","Hiroyasu Ibata",""
"入井和久","入井和久","Kazuhisa Irii",""
"別所毅彦","别所毅彦","Takehiko Bessho",""
"勝矢寿延","胜矢寿延","Toshinobu Katsuya",""
"土橋正樹","土桥正树","Masaki Tsuchihashi",""
"大堀彩","大堀彩","Aya Ohori",""
"大熊裕司","大熊裕司","Yuji Okuma",""
"宮本恵美子","宫本惠美子","Emiko Miyamoto",""
"小阪昭典","小阪昭典","Akinori Kosaka",""
"末次利光","末次利光","Toshimitsu Suetsugu",""
"森重真人","森重真人","Masato Morishige",""
"橋本英郎","桥本英郎","Hideo Hashimoto",""
"清水直右衛門","清水直右卫门","Naoemon Shimizu",""
"篠谷菜留","筿谷菜留","Naru Shinoya",""
"野村明日香","野村明日香","Asuka Nomura",""
"阿部良則","阿部良则","Yoshinori Abe",""
"香川真司","香川真司","Shinji Kagawa",""
"三好匠","三好匠","Takumi Miyoshi",""
"上辻佑実","上辻佑实","Yumi Uetsuji",""
"中地舞","中地舞","Mai Nakachi",""
"佐藤真一","佐藤真一","Shinichi Sato (baseball)",""
"児玉誉士夫","儿玉誉士夫","Yoshio Kodama",""
"北原佳奈","北原佳奈","Kana Kitahara",""
"北村久寿雄","北村久寿雄","Kusuo Kitamura",""
"吉川光夫","吉川光夫","Mitsuo Yoshikawa",""
"埴田真紀","埴田真纪","Maki Haneta",""
"大石大二郎","大石大二郎","Daijiro Oishi",""
"大西昌之","大西昌之","Masayuki Onishi",""
"市川大祐","市川大祐","Daisuke Ichikawa",""
"布井良助","布井良助","Ryosuke Nunoi",""
"平松政次","平松政次","Masaji Hiramatsu",""
"タイラー・オースティン","泰勒·奥斯汀","Tyler Austin",""
"熊﨑勝彦","熊崎胜彦","Katsuhiko Kumazaki",""
"熊谷浩二","熊谷浩二","Koji Kumagai",""
"福田雅之助","福田雅之助","Masanosuke Fukuda",""
"箱山愛香","箱山爱香","Aika Hakoyama",""
"藤井亮 (サッカー選手)","藤井亮","Ryo Fujii",""
"鈴木規郎","铃木规郎","Norio Suzuki (footballer)",""
"長沼健","长沼健","Ken Naganuma",""
"斎藤克幸","斋藤克幸","Katsuyuki Saito",""
"楽山孝志","乐山孝志","Takashi Rakuyama",""
"今井敬三","今井敬三","Keizo Imai",""
"伊達倫央","伊达伦央","Michihisa Date",""
"佐々木雅尚","佐佐木雅尚","Masanao Sasaki",""
"佐野優子","佐野优子","Yūko Sano",""
"大古誠司","大古诚司","Seiji Oko",""
"寺原隼人","寺原隼人","Hayato Terahara",""
"小川博","小川博","Hiroshi Ogawa (pitcher)",""
"山本浩二","山本浩二","Koji Yamamoto (baseball, born 1946)",""
"服部年宏","服部年宏","Toshihiro Hattori",""
"李裕ヒョン","李裕灐","Lee Yoo-hyung",""
"松友美佐紀","松友美佐纪","Misaki Matsutomo",""
"松山奈未","松山奈未","Nami Matsuyama",""
"橡尾健次","橡尾健次","Kenji Tochio",""
"池田伸康","池田伸康","Nobuyasu Ikeda",""
"米山智","米山智","Satoshi Yoneyama (footballer)",""
"西村雄一","西村雄一","Yuichi Nishimura",""
"ジーン・バッキー","金·巴奇","Gene Bacque",""
"鈴木武蔵","铃木武藏","Musashi Suzuki",""
"レックス・ハドラー","雷克斯·哈德勒","Rex Hudler",""
"森田遥","鲁婉遥","Haruka Morita-WanyaoLu",""
"上林誠知","上林诚知","Seiji Uebayashi",""
"中島理帆","中岛理帆","Riho Nakajima",""
"中村藍子","中村蓝子","Aiko Nakamura",""
"伊野波雅彦","伊野波雅彦","Masahiko Inoha",""
"北島康介","北岛康介","Kosuke Kitajima",""
"土肥義弘","土肥义弘","Yoshihiro Doi",""
"堀本律雄","堀本律雄","Ritsuo Horimoto",""
"望月聡","望月聪","Satoru Mochizuki",""
"森保一","森保一","Hajime Moriyasu",""
"権藤博","权藤博","Hiroshi Gondoh",""
"水野晃樹","水野晃树","Koki Mizuno",""
"浅井哲彦","浅井哲彦","Tetsuhiko Asai",""
"田中将大","田中将大","Masahiro Tanaka",""
"神戸清雄","神户清雄","Sugao Kambe",""
"秋吉亮","秋吉亮","Ryo Akiyoshi",""
"蕭一傑","萧一杰","Hsiao I-chieh",""
"藤田宗一 (投手)","藤田宗一","Soichi Fujita",""
"辻本茂輝","辻本茂辉","Shigeki Tsujimoto",""
"遠藤航","远藤航","Wataru Endo",""
"阿部奈々美","阿部奈奈美","Nanami Abe",""
"高林孝行","高林孝行","Takayuki Takabayashi",""
"三嶋一輝","三嶋一辉","Kazuki Mishima",""
"三浦莉奈","三浦莉奈","Rina Miura",""
"中澤聡太","中泽聪太","Sota Nakazawa",""
"二宮寛","二宫宽","Hiroshi Ninomiya",""
"井納翔一","井纳翔一","Shoichi Ino",""
"今井優步","今井优步","Yuho Imai",""
"佐々木則夫 (サッカー指導者)","佐佐木则夫","Norio Sasaki",""
"塚本明正","冢本明正","Akimasa Tsukamoto",""
"大場翔太","大场翔太","Shota Oba",""
"コルビー・ルイス","寇拜·路易斯","Colby Lewis",""
"山﨑雅人","山崎雅人","Masato Yamazaki (footballer, born 1981)",""
"島村征志","岛村征志","Masashi Shimamura",""
"張本天傑","张本天杰","Tenketsu Harimoto",""
"新垣世璋","新垣世璋","Arakaki Seishō",""
"林勇気","林勇气","Yuki Hayashi (archer)",""
"森下仁志","森下仁志","Hitoshi Morishita (footballer, born 1972)",""
"永木亮太","永木亮太","Ryota Nagaki",""
"河村優","河村优","Yu Kawamura",""
"海堀あゆみ","海堀步","Ayumi Kaihori",""
"籾木結花","籾木结花","Yūka Momiki",""
"蒼国来栄吉","苍国来荣吉","Sōkokurai Eikichi",""
"萩原智子","萩原智子","Tomoko Hagiwara",""
"藤井寛子","藤井宽子","Hiroko Fujii",""
"藤村智美","藤村智美","Tomomi Fujimura",""
"辻勇","辻勇","Isamu Tsuji",""
"鶴岡一成","鹤冈一成","Kazunari Tsuruoka",""
"丸目長恵","丸目长惠","Marume Nagayoshi",""
"丹尼爾·施密特","丹尼尔·施密特","Daniel Schmidt (footballer)",""
"京田陽太","京田阳太","Yōta Kyōda",""
"今井月","今井月","Runa Imai",""
"伊東輝悦","伊东辉悦","Teruyoshi Itō",""
"佐々木節子","佐佐木节子","Setsuko Sasaki",""
"宇津木瑠美","宇津木瑠美","Rumi Utsugi",""
"T-岡田","冈田贵弘","Takahiro Okada",""
"川勝良一","川胜良一","Ryoichi Kawakatsu",""
"川崎憲次郎","川崎宪次郎","Kenjiro Kawasaki",""
"後藤靱雄","后藤靱雄","Yukio Goto",""
"本田将也","本田将也","Masaya Honda",""
"東和政","东和政","Kazumasa Azuma",""
"橋爪四郎","桥爪四郎","Shiro Hashizume",""
"武井壮","武井壮","Sō Takei",""
"王子谷剛志","王子谷刚志","Takeshi Ōjitani",""
"田村恵 (サッカー選手)","田村惠","Megumu Tamura",""
"福西崇史","福西崇史","Takashi Fukunishi",""
"菊池涼介","菊池凉介","Ryosuke Kikuchi",""
"藤木麻祐子","藤木麻佑子","Mayuko Fujiki",""
"野口幸司","野口幸司","Koji Noguchi",""
"高橋侑希","高桥侑希","Yuki Takahashi (wrestler)",""
"高橋沙也加","高桥沙也加","Sayaka Takahashi",""
"中井貴裕","中井贵裕","Takahiro Nakai",""
"五十嵐優","五十岚优","Yu Igarashi",""
"佐々木翔 (バドミントン選手)","佐佐木翔","Sho Sasaki",""
"佐藤友昭","佐藤友昭","Tomoaki Sato (baseball, born 1968)",""
"内藤真実","内藤真实","Mami Naito",""
"吉村大志郎","吉村大志郎","Daishiro Yoshimura",""
"吉田弘 (サッカー選手)","吉田弘","Hiroshi Yoshida (footballer)",""
"增矢理花","增矢理花","Rika Masuya",""
"夢想権之助","梦想权之助","Musō Gonnosuke",""
"冨田洋之","富田洋之","Hiroyuki Tomita",""
"小山勉","小山勉","Tsutomu Koyama",""
"平田良介","平田良介","Ryōsuke Hirata",""
"森野将彦","森野将彦","Masahiko Morino",""
"永里優季","永里优季","Yūki Nagasato",""
"深山静夫","深山静夫","Shizuo Miyama",""
"渡辺一平","渡边一平 (游泳运动员)","Ippei Watanabe (swimmer)",""
"澤入重雄","泽入重雄","Shigeo Sawairi",""
"片岡聡","片冈聪","Satoshi Kataoka",""
"片野坂知宏","片野坂知宏","Tomohiro Katanosaka",""
"矢野喬子","矢野乔子","Kyoko Yano",""
"矢野燿大","矢野燿大","Akihiro Yano",""
"福中佐知子","福中佐知子","Sachiko Fukunaka",""
"藤春廣輝","藤春广辉","Hiroki Fujiharu",""
"藤田平","藤田平","Taira Fujita",""
"金炳賢","金炳贤","Byung-hyun Kim",""
"魁道康弘","魁道康弘","Kaidō Yasuhiro",""
"中村麻衣 (アーティスティックスイミング選手)","中村麻衣","Mai Nakamura (synchronized swimmer)",""
"中田翔","中田翔","Sho Nakata",""
"丹羽大輝","丹羽大辉","Daiki Niwa (footballer)",""
"伊東純也","伊东纯也","Junya Itō",""
"俊野達彦","俊野达彦","Tatsuhiko Toshino",""
"初見良昭","初见良昭","Masaaki Hatsumi",""
"ラウル・アルカンタラ","劳尔·阿坎塔拉","Raúl Alcántara",""
"呉偲佑","吴偲佑","Szu-Yu Wu",""
"大本忠輝","大本忠辉","Tadateru Omoto",""
"大林拓真","大林拓真","Takuma Obayashi",""
"大谷秀和","大谷秀和","Hidekazu Otani",""
"アントニオ猪木","安东尼奥·猪木","Antonio Inoki",""
"小澤怜史","小泽怜史","Reiji Kozawa",""
"山本山龍太","山本山龙太","Yamamotoyama Ryūta",""
"山本洋祐","山本洋祐","Yōsuke Yamamoto (judoka)",""
"岩坂名奈","岩坂名奈","Nana Iwasaka",""
"ブライアン・ロドリゲス","布莱恩·罗德里奎兹","Bryan Rodriguez (baseball)",""
"常陸山谷右エ門","常陆山谷右卫门","Hitachiyama Taniemon",""
"平林俊夫","平林俊夫","Toshio Hirabayashi",""
"廖任磊","廖任磊","Liao Jen-lei",""
"志田順子","志田顺子","Yoriko Shida",""
"新井瑞希","新井瑞希","Mizuki Arai",""
"李漢宰","李汉宰","Ri Han-jae",""
"林羿豪","林羿豪","Lin Yi-hao",""
"森薗政崇","森薗政崇","Masataka Morizono",""
"楠神順平","楠神顺平 (足球运动员)","Jumpei Kusukami",""
"津留﨑大成","津留崎大成","Taisei Tsurusaki",""
"清水啓吾","清水启吾","Keigo Shimizu",""
"片岡保幸","片冈治大","Yasuyuki Kataoka",""
"相原俊子","相原俊子","Toshiko Shirasu-Aihara",""
"福田師王","福田师王","Shiō Fukuda",""
"糸井嘉男","糸井嘉男","Yoshio Itoi",""
"諸山文彦","诸山文彦","Fumihiko Moroyama",""
"金城ジャスティン俊樹","金城俊树","Justin Toshiki Kinjo",""
"阿武咲奎也","阿武咲奎也","Ōnoshō Fumiya",""
"中島翔哉","中岛翔哉","Shōya Nakajima",""
"位田愛","位田爱","Ai Inden",""
"出羽ノ花國市","出羽乃花国市","Dewanohana Kuniichi",""
"加地亮","加地亮","Akira Kaji",""
"坂本義行","坂本义行","Yoshiyuki Sakamoto",""
"大橋悠依","大桥悠依","Yui Ohashi",""
"小高笑子","小高笑子","Emiko Odaka",""
"山崎晃大朗","山崎晃大朗","Kotaro Yamasaki",""
"山本昌邦","山本昌邦","Masakuni Yamamoto",""
"平繁龍一","平繁龙一","Ryuichi Hirashige",""
"志土地真優","志土地真优","Mayu Mukaida",""
"成迫健児","成迫健儿","Kenji Narisako",""
"新井麻月","新井麻月","Mazuki Arai",""
"杉山誠","杉山诚","Makoto Sugiyama",""
"桑原勝義","桑原胜义","Katsuyoshi Kuwahara",""
"澤登正朗","泽登正朗","Masaaki Sawanobori",""
"若月健矢","若月健矢","Kenya Wakatsuki",""
"藤村富美男","藤村富美男","Fumio Fujimura",""
"藤間香織","藤间香织","Kaori Fujima",""
"西山孝朗","西山孝朗","Takao Nishiyama",""
"赤松真人","赤松真人","Masato Akamatsu",""
"鳳谷五郎 (横綱)","凤谷五郎","Ōtori Tanigorō",""
"三崎四郎","三崎四郎","Shiro Misaki",""
"武尊","世川武尊","Takeru Segawa",""
"前田健太","前田健太","Kenta Maeda",""
"古川陽介","古川阳介","Yosuke Furukawa",""
"古川高晴","古川高晴","Takaharu Furukawa",""
"古賀太陽","古贺太阳","Taiyo Koga",""
"国枝慎吾","国枝慎吾","Shingo Kunieda",""
"多和田真三郎","多和田真三郎","Shinsaburō Tawata",""
"大崎剛彦","大崎刚彦","Yoshihiko Osaki",""
"大村加奈子","大村加奈子","Kanako Omura",""
"小原日登美","小原日登美","Hitomi Obara",""
"山口茜 (バドミントン選手)","山口茜","Akane Yamaguchi",""
"山崎亮平","山崎亮平","Ryohei Yamazaki",""
"ジャイアント馬場","巨人马场","Giant Baba",""
"ラダメス・リズ","拉德阿梅斯·利斯","Radhames Liz",""
"木原龍一","木原龙一","Ryuichi Kihara",""
"本吉剛","本吉刚","Takeshi Motoyoshi",""
"栃光正之","栃光正之","Tochihikari Masayuki",""
"水井敏捷","水井敏捷","Hirari Mizui",""
"清原翔平","清原翔平","Shohei Kiyohara",""
"礒田由和","𥐟田由和","Yoshikazu Isoda",""
"落合弘","落合弘","Hiroshi Ochiai",""
"谷佳知","谷佳知","Yoshitomo Tani",""
"辛島航","辛岛航","Wataru Karashima",""
"近藤一樹","近藤一树","Kazuki Kondoh",""
"酒井志穂","酒井志穗","Shiho Sakai",""
"長岡秀樹","长冈秀树","Hideki Nagaoka",""
"青木功","青木功","Isao Aoki",""
"鶴田道弘","鹤田道弘","Michihiro Tsuruta",""
"内田一二四","内田一二四","Hifuyo Uchida",""
"喜屋武朝徳","喜屋武朝德","Chōtoku Kyan",""
"ジョナサン・アルバラデホ","乔纳森·阿巴拉迪欧","Jonathan Albaladejo",""
"小山雄輝","小山雄辉","Yuki Koyama",""
"山口芳忠","山口芳忠","Yoshitada Yamaguchi",""
"川西武彦","川西武彦","Takehiko Kawanishi",""
"念阿弥慈恩","念阿弥慈恩","Jion (monk)",""
"松村胜美","松村胜美","Katsumi Matsumura",""
"栗原勇蔵","栗原勇藏","Yuzo Kurihara",""
"森直樹 (1972年生のサッカー選手)","森直树","Naoki Mori (footballer, born 1972)",""
"永井謙佑","永井谦佑","Kensuke Nagai",""
"田中誠 (サッカー選手)","田中诚","Makoto Tanaka",""
"ケニー・レイボーン","肯尼·雷伯恩","Kenny Rayborn",""
"藤沢里菜","藤泽里菜","Rina Fujisawa",""
"谷風梶之助 (2代)","谷风梶之助","Tanikaze Kajinosuke",""
"遠藤保仁","远藤保仁","Yasuhito Endō",""
"長田道泰","长田道泰","Michiyasu Osada",""
"中村兼三","中村兼三","Kenzo Nakamura",""
"中村多仁子","中村多仁子","Taniko Nakamura-Mitsukuri",""
"丸山権太左衛門","丸山权太左卫门","Maruyama Gondazaemon",""
"伊藤竜馬","伊藤龙马","Tatsuma Ito",""
"佐藤有香","佐藤有香","Yuka Sato",""
"吉成浩司","吉成浩司","Koji Yoshinari",""
"大谷未央","大谷未央","Mio Otani",""
"小澤雄希","小泽雄希","Yuki Ozawa",""
"山川穂高","山川穗高","Hotaka Yamakawa",""
"山瀬功治","山濑功治","Koji Yamase",""
"岸川聖也","岸川圣也","Seiya Kishikawa",""
"川﨑宗則","川崎宗则","Munenori Kawasaki",""
"廣田彩花","广田彩花","Sayaka Hirota",""
"新井敏弘","新井敏弘","Toshi Arai",""
"松丸貞一","松丸贞一","Teiichi Matsumaru",""
"松本哲也 (野球)","松本哲也","Tetsuya Matsumoto",""
"森福允彦","森福允彦","Masahiko Morifuku",""
"永井清史","永井清史","Kiyofumi Nagai",""
"清水隆行","清水崇行","Takayuki Shimizu (baseball)",""
"皆本勝弘","皆本胜弘","Katsuhiro Minamoto",""
"石橋紀子","石桥纪子","Noriko Ishibashi",""
"藤田俊哉","藤田俊哉","Toshiya Fujita (footballer)",""
"長澤徹","长泽彻","Tetsu Nagasawa",""
"阿武松緑之助","阿武松绿之助","Ōnomatsu Midorinosuke",""
"阿部祐大朗","阿部祐大朗","Yutaro Abe",""
"三浦知良","三浦知良","Kazuyoshi Miura",""
"伊東可奈","伊东可奈","Kana Ito",""
"佐藤義則","佐藤义则","Yoshinori Sato (baseball, born 1954)",""
"八木沢荘六","八木泽庄六","Soroku Yagisawa",""
"千葉吟子","千叶吟子","Ginko Abukawa-Chiba",""
"埜下荘司","埜下庄司","Shoji Nonoshita",""
"大友工","大友工","Takumi Otomo",""
"大塚翔平","大冢翔平","Shohei Otsuka",""
"大石信幸","大石信幸","Nobuyuki Oishi",""
"小窪哲也","小洼哲也","Tetsuya Kokubo",""
"清宮幸太郎","清宫幸太郎","Kōtarō Kiyomiya",""
"浜恵子 (バレーボール)","滨惠子","Keiko Hama",""
"相川亮二","相川亮二","Ryoji Aikawa",""
"石塚啓次","石冢启次","Keiji Ishizuka",""
"茂木弘人","茂木弘人","Hiroto Mogi",""
"荒木萌恵","荒木萌惠","Moe Araki",""
"藤井貴","藤井贵","Takashi Fujii (footballer)",""
"遠藤溪太","远藤溪太","Keita Endō",""
"金子誠 (サッカー選手)","金子诚 (足球运动员)","Makoto Kaneko (footballer)",""
"金崎夢生","金崎梦生","Mu Kanazaki",""
"金成勇","金成勇","Kim Song-yong",""
"錦織えみ","锦织惠美","Emi Nishikori",""
"阿部浩之","阿部浩之","Hiroyuki Abe (footballer)",""
"陽耀勲","阳耀勋","Yang Yao-hsun",""
"髙村祐","高村祐","Hiroshi Takamura",""
"高橋みゆき","高桥美雪","Miyuki Takahashi (volleyball)",""
"マイク・ジョンソン (1975年生の投手)","麦可·强森 (棒球选手)","Mike Johnson (1990s pitcher)",""
"G.G.佐藤","G.G.佐藤","G. G. Sato",""
"丸佳浩","丸佳浩","Yoshihiro Maru",""
"古賀稔彦","古贺稔彦","Toshihiko Koga",""
"後藤暢","后藤畅","Toru Goto",""
"大柴健二","大柴健二","Kenji Oshiba",""
"太田貴光","太田贵光","Takamitsu Ota",""
"安永聡太郎","安永聪太郎","Sotaro Yasunaga",""
"安藤優也","安藤优也","Yuya Ando",""
"播戸竜二","播户龙二","Ryūji Bando",""
"早川漣","早川涟","Ren Hayakawa",""
"朝日健太郎","朝日健太郎","Kentaro Asahi",""
"木坂規矩三","木坂规矩三","Kikuzo Kisaka",""
"武藤嘉紀","武藤嘉纪","Yoshinori Muto",""
"渡辺勇大","渡边勇大","Yuta Watanabe (badminton)",""
"田中真二","田中真二","Shinji Tanaka",""
"疋田景兼","疋田景兼","Hikita Bungorō",""
"石川歩","石川步","Ayumu Ishikawa",""
"貴田裕美","贵田裕美","Yumi Kida",""
"金藤理絵","金藤理绘","Rie Kaneto",""
"鈴木弘","铃木弘","Hiroshi Suzuki (swimmer)",""
"長谷川健太","长谷川健太","Kenta Hasegawa",""
"阿部慎之助","阿部慎之助","Shinnosuke Abe",""
"三根山隆司","三根山隆司","Mitsuneyama Keiji",""
"下田崇","下田崇","Takashi Shimoda",""
"中村礼子","中村礼子","Reiko Nakamura",""
"井上琴絵","井上琴绘","Kotoe Inoue",""
"坂下博之","坂下博之","Hiroyuki Sakashita",""
"大野毅","大野毅","Takeshi Ono",""
"小杉敏之","小杉敏之","Toshiyuki Kosugi",""
"山口智 (サッカー選手)","山口智","Satoshi Yamaguchi (footballer, born 1978)",""
"川村卓也","川村卓也","Takuya Kawamura",""
"平田典靖","平田典靖","Noriyasu Hirata",""
