"japanese","chinese","romaji","gender"
"小泉勲","小泉勋","Isao Koizumi",""
"川上仁一","川上仁一","Jinichi Kawakami",""
"川上信夫","川上信夫","Nobuo Kawakami",""
"巽樹理","巽树理","Juri Tatsumi",""
"折井孝男","折井孝男","Takao Orii",""
"新鍋理沙","新锅理沙","Risa Shinnabe",""
"村上雅則","村上雅则","Masanori Murakami",""
"松原誠","松原诚","Makoto Matsubara",""
"松浦敏夫","松浦敏夫","Toshio Matsuura",""
"栄井健太郎","荣井健太郎","Kentaro Sakai",""
"江藤理惠","江藤理惠","Rie Eto (badminton)",""
"渡辺卓 (サッカー選手)","渡边卓","Taku Watanabe",""
"澤村拓一","泽村拓一","Hirokazu Sawamura",""
"熊谷敬宥","熊谷敬宥","Takahiro Kumagai",""
"猶本光","犹本光","Hikaru Naomoto",""
"町田瑠唯","町田瑠唯","Rui Machida",""
"監物永三","监物永三","Eizo Kenmotsu",""
"荻村伊智朗","荻村伊智朗","Ichiro Ogimura",""
"許銘傑","许铭杰","Hsu Ming-chieh",""
"豊響隆太","丰响隆太","Toyohibiki Ryūta",""
"金子久","金子久","Hisashi Kaneko",""
"髙城俊人","高城俊人","Shuto Takajo",""
"上久雄","上久雄","Hisao Kami",""
"中川誠一郎","中川诚一郎","Seiichiro Nakagawa",""
"伊東浩司","伊东浩司","Koji Ito",""
"伊良部秀輝","伊良部秀辉","Hideki Irabu",""
"佐藤衣里子","佐藤衣里子","Eriko Sato (footballer)",""
"小山ちれ","何智丽","He Zhili",""
"加賀見健介","加贺见健介","Kensuke Kagami",""
"堂森勝利","堂森胜利","Katsutoshi Domori",""
"多村仁志","多村仁志","Hitoshi Tamura",""
"多田修平","多田修平","Shuhei Tada",""
"家長昭博","家长昭博","Akihiro Ienaga",""
"岩井厚裕","岩井厚裕","Atsuhiro Iwai",""
"旭天山武","旭天山武","Kyokutenzan Takeshi",""
"木山隆之","木山隆之","Takashi Kiyama",""
"村田一弘","村田一弘 (足球运动员)","Kazuhiro Murata",""
"松坂大輔","松坂大辅","Daisuke Matsuzaka",""
"柏尾誠一郎","柏尾诚一郎","Seiichiro Kashio",""
"武市瑞山","武市半平太","Takechi Hanpeita",""
"武田一浩","武田一浩","Kazuhiro Takeda",""
"テリー・ブロス","泰瑞·布洛斯","Terry Bross",""
"牧野景輔","牧野景辅","Keisuke Makino",""
"緋村剣心","绯村剑心","Himura Kenshin",""
"鈴木啓太","铃木启太","Keita Suzuki (footballer, born 1981)",""
"高田一美","高田一美","Kazumi Takada",""
"上田忠彦","上田忠彦","Tadahiko Ueda",""
"豊田陽平","丰田阳平","Yohei Toyoda",""
"タフィ・ローズ","图非·罗兹","Tuffy Rhodes",""
"坂井丞","坂井丞","Sho Sakai",""
"大竹寛","大竹宽","Kan Otake",""
"大野将平","大野将平","Shohei Ono",""
"山本富士雄","山本富士雄","Fujio Yamamoto",""
"川上紗惠奈","川上纱惠奈","Saena Kawakami",""
"清水和男","清水和男","Kazuo Shimizu",""
"王靖超","王靖超","Wang Jingchao",""
"田坂和昭","田坂和昭","Kazuaki Tasaka",""
"谷口彰悟","谷口彰悟","Shōgo Taniguchi",""
"重松良典","重松良典","Yoshinori Shigematsu",""
"金正也","金正也","Kim Jung-ya",""
"金澤宏","金泽宏","Hiroshi Kanazawa",""
"鈴木啓示","铃木启示","Keishi Suzuki",""
"鮫島彩","鲛岛彩","Aya Sameshima",""
"黄大城","黄大城 (足球员)","Hwang Te-song",""
"井山裕太","井山裕太","Yuta Iyama",""
"佐伯祐行","佐伯祐行","Hiroyuki Saeki",""
"加茂正五","加茂正五","Shogo Kamo",""
"大島康徳","大岛康德","Yasunori Oshima",""
"大鵬幸喜","大鹏幸喜","Taihō Kōki",""
"小鶴誠","小鹤诚","Makoto Kozuru",""
"山口敏弘","山口敏弘","Toshihiro Yamaguchi",""
"川西翔太","川西翔太","Shota Kawanishi",""
"東口順昭","东口顺昭","Masaaki Higashiguchi",""
"森脇良太","森脇良太","Ryota Moriwaki",""
"横谷繁","横谷繁","Shigeru Yokotani",""
"水沼貴史","水沼贵史","Takashi Mizunuma",""
"淺野祥代","浅野祥代","Sakiyo Asano",""
"賀谷英司","贺谷英司","Eiji Gaya",""
"越智大祐","越智大祐","Daisuke Ochi",""
"酒井友之","酒井友之","Tomoyuki Sakai",""
"金田喜稔","金田喜稔","Nobutoshi Kaneda",""
"高杉晋作","高杉晋作","Takasugi Shinsaku",""
"中里優","中里优","Yu Nakasato",""
"佐藤翔治","佐藤翔治","Shōji Satō",""
"加納昌弘","加纳昌弘","Masahiro Kano",""
"塚原直也","冢原直也","Naoya Tsukahara",""
"大島公一","大岛公一","Koichi Oshima",""
"大野均","大野均","Hitoshi Ono",""
"山下幸輝 (野球)","山下幸辉","Kōki Yamashita",""
"木岡二葉","木冈二叶","Futaba Kioka",""
"村上佳菜子","村上佳菜子","Kanako Murakami",""
"村上睦子","村上睦子","Chikako Murakami (basketball)",""
"東洋の魔女","东洋魔女","Oriental Witches",""
"桑田健秀","桑田健秀","Kiyohide Kuwata",""
"森島寛晃","森岛宽晃","Hiroaki Morishima",""
"森田智己","森田智己","Tomomi Morita",""
"永井葉月","永井叶月","Hazuki Nagai",""
