"russian","chinese","gender"
"Сухраб Ахмедов","苏赫拉布·艾哈迈多夫",""
"Семён Игнатьев","谢苗·伊格纳季耶夫",""
"Фёдор Фалалеев","费奥多尔·法拉列耶夫",""
"Алексей Гастев","阿列克谢·加斯捷夫",""
"Аркадий Гайдар","阿尔卡季·盖达尔",""
"Альфред Шнитке","阿尔弗雷德·施尼特凯",""
"Борис Пайкин","鲍里斯·派金",""
"Шаблон:Маршалы родов войск","Template:苏联军兵种元帅",""
"Нижний Новгород","下诺夫哥罗德",""
"Александр Михайлов","亚历山大·亚历山德罗维奇·米哈伊洛夫",""
"Александр Ильтяков","亚历山大·伊利佳科夫",""
"Александр Ткачёв","亚历山大·尼古拉耶维奇·特卡乔夫 (1965年)",""
"Александр Сидоренко","亚历山大·瓦西里耶维奇·西多连科",""
"Александр Шелепин","亚历山大·谢列平",""
"Александр Нейдгардт","亚历山大·伊凡诺维奇·列加尔顿",""
"Александр Головин","亚历山大·戈洛温",""
"Александр Дутов","亚历山大·杜托夫",""
"Иван Спиридонов","伊万·斯皮里多诺夫",""
"Иван Грушецкий","伊万·格鲁舍茨基",""
"Илья Старинов","伊利亚·斯塔里诺夫",""
"Лев Дейч","列夫·格里戈里耶维奇·捷依奇",""
"Людвик Свобода","卢德维克·斯沃博达",""
"Андрей Свердлов","安德烈·斯维尔德洛夫",""
"Андрей Пумпур","安德烈斯·普姆普尔",""
"Юрий Тен","尤里·郑",""
"Николай Журавский","尼古拉·茹拉夫斯基",""
"Курман-Гали Каракеев","库尔曼-加利·卡拉克耶夫",""
"Константин Уханов","康斯坦丁·乌哈诺夫",""
"Владимир Краснопольский","弗拉基米尔·克拉斯诺波利斯基",""
"Владимир Смирнов","弗拉基米尔·米哈伊洛维奇·斯米尔诺夫",""
"Владимир Татлин","弗拉基米尔·塔特林",""
"Владимир Антонов-Овсеенко","弗拉基米尔·安东诺夫-奥弗申柯",""
"Пётр Капица","彼得·卡皮察",""
"Дмитрий Башкиров","德米特里·巴什基罗夫",""
"Фердинанд I (король Румынии)","斐迪南一世 (罗马尼亚)",""
"Светлана Смирнова-Марцинкевич","斯韦特兰娜·斯米尔诺娃-马尔钦克维奇",""
"Георгий Щенников","格奥尔基·施琴尼科夫",""
"Григорий Кириенко","格里戈里·基里延科",""
"Фазыл Карибжанов","法兹尔·卡里布扎诺夫",""
"Валерий Скруг","瓦列里·斯克鲁格",""
"Вадим Филимонов","瓦季姆·菲利莫诺夫",""
"Василий Дьяконов","瓦西里·季亚科诺夫",""
"Василиса Кожина","瓦西丽莎·科兹娜",""
"Днепропетровский клан","第聂伯罗彼得罗夫斯克帮",""
"Наталия Аринбасарова","纳塔利娅·阿瑞巴莎诺瓦",""
"Виктор Ан","维克多·安",""
"Шолбан Кара-оол","绍尔班·卡拉-奥尔",""
"Виктор Перло","维克托·佩洛",""
"Салижан Шарипов","萨利江·沙里波夫",""
"Сергей Игнашевич","谢尔盖·伊格纳舍维奇",""
"Сергей Кудрявцев","谢尔盖·亚历山德罗维奇·库德里亚夫采夫",""
"Сергей Лисовский","谢尔盖·利索夫斯基",""
"Фёдор Сергеев","费奥多尔·谢尔盖耶夫",""
"Дамдин Сухэ-Батор","达木丁·苏赫巴托尔",""
"Алексей Маресьев","阿列克谢·马列西耶夫",""
"Анатолий Петухов","阿纳托利·瓦西里耶维奇·佩图霍夫",""
"Анатолий Ноговицын","阿纳托利·阿列克谢耶维奇·诺戈维岑",""
"Алиса Клейбанова","阿丽莎·克莱班诺娃",""
"Кэндзи Мисуми","三隅研次",""
"Александр Лебединский","亚历山大·列别金斯基",""
"Александр Родзянко","亚历山大·罗将柯",""
"Александр Даргомыжский","亚历山大·达尔戈梅日斯基",""
"Иван Бодюл","伊万·鲍久尔",""
"Хара Такаси","原敬",""
"Елена Слесаренко","叶连娜·斯列萨连科",""
"Гарри Хоутон","哈里·霍顿",""
"Иннокентий Смоктуновский","因诺肯季·斯莫克图诺夫斯基",""
"Эммануил Квиринг","埃马努伊尔·奎林",""
"Андрей Дорошкевич","安德烈·多罗什克维奇",""
"Андрей Воробьёв","安德烈·维克托罗维奇·沃罗比约夫",""
"Андрей Амальрик","安德烈·阿马尔里克",""
"Юрий Безменов","尤里·亚历山德罗维奇·贝兹梅诺夫",""
"Николай Губенко","尼古拉·古边科",""
"Николай Рерих","尼古拉斯·洛里奇",""
"Чхве Ён Гон","崔庸健",""
