"russian","chinese","gender"
"Данила Козловский","丹尼拉·科兹洛夫思基",""
"Джордж Падмор","乔治·帕德莫尔",""
"Александр Карелин","亚历山大·卡列林",""
"Александр Ярославич Невский","亚历山大·涅夫斯基",""
"Александр Георгиев","亚历山大·瓦西里耶维奇·格奥尔基耶夫",""
"Илья Найшуллер","伊利亚·奈舒勒",""
"Имам Мустафаев","伊马姆·穆斯塔法耶夫",""
"Леонид Брежнев","列昂尼德·勃列日涅夫",""
"Лю Ялоу","刘亚楼",""
"Военно-воздушная академия имени Ю. А. Гагарина","加加林空军学院",""
"Екатерина Пешкова","叶卡捷琳娜·佩什科娃",""
"Ефим Евдокимов","叶菲姆·叶夫多基莫夫",""
"О Джин У","吴振宇 (朝鲜)",""
"Турсунбай Ульджабаев","图尔松·乌利贾巴耶夫",""
"Кирилл Набабкин","基里尔·纳巴布金",""
"Умар Кремлёв","奥马尔·克列姆廖夫",""
"Нийоле Садунайте","妮约莱·萨杜奈特",""
"Надежда Грекова-Малинина","娜杰日达·格列科娃",""
"Андрей Вознесенский","安德烈·沃兹涅先斯基",""
"Николай Лавёров","尼古拉·拉维奥罗夫",""
"Павел Зырянов","帕维尔·泽里亚诺夫",""
"Павел Аллилуев","帕维尔·阿利卢耶夫",""
"Владимир Крайнев","弗拉基米尔·克拉伊涅夫",""
"Владимир Лобов","弗拉基米尔·洛博夫",""
"Владимир Филиппов","弗拉基米尔·菲利波夫",""
"Владимир Мацкевич","弗拉基米尔·马茨凯维奇",""
"Гоар Гаспарян","戈阿尔·加斯帕良",""
"Людмила Зыкина","柳德米拉·泽金娜",""
"Геннадий Сарафанов","根纳季·萨拉法诺夫",""
"Валентин Дмитриев","瓦连京·德米特里耶夫",""
"Орден «За заслуги перед Отечеством»","祖国功勋勋章",""
"Михаил Родзянко","米哈伊尔·罗将柯",""
"Вячеслав Шумский","维亚切斯拉夫·米哈伊洛维奇·舒姆斯基",""
"Виктор Цой","维克多·崔",""
"Виктор Смирнов","维克托·弗拉基米罗维奇·斯米尔诺夫",""
"Виктория Николаева","维多利亚·尼古拉耶娃",""
"Виссарион Шебалин","维萨里翁·舍巴林",""
"Роза Рымбаева","萝扎·雷姆巴耶娃",""
"Евгения Родина","叶夫根尼娅·罗金娜",""
"Сергей Сухарев","谢尔盖·苏哈列夫",""
"Сергей Горенко","谢尔盖·戈连科",""
"Дарья Устинова","达里娅·谢尔盖耶芙娜·乌斯季诺娃",""
"Алексей Никанчиков","阿列克谢·尼坎奇科夫",""
"Геза Ревес","雷维斯·格佐",""
"Борис Шереметев","鲍里斯·舍列梅捷夫",""
"Денис Глушаков","丹尼斯·格卢沙科夫",""
"Александр Романчук","亚历山大·罗曼丘克",""
"Иван Шадр","伊万·沙德尔",""
"Игорь Мангушев","伊戈尔·曼古舍夫",""
"Александр Михайлович (внук Николая I)","俄罗斯的亚历山大·米哈伊罗维奇大公",""
"Гавриил Илизаров","加夫里尔·伊里扎洛夫",""
"Дон Карлос Старший","卡洛斯·玛丽亚·伊西德罗·德·波旁",""
"Евгений Воробьёв","叶夫根尼·沃尔比约夫",""
"Тарас Шевченко","塔拉斯·舍甫琴科",""
"Нигина Сайфуллаева","妮基娜·哈菲佐夫娜·沙夫伊瓦",""
"Антон Ткачёв","安东·特卡乔夫",""
"Николай Михайлов","尼古拉·亚历山德罗维奇·米哈伊洛夫",""
"Николай Шульгинов","尼古拉·舒利吉诺夫",""
"Павел Цицианов","帕维尔·齐齐阿诺夫",""
"Артур Коннаутский","康诺特的亚瑟王子",""
"Владимир Белокуров","弗拉基米尔·别洛库罗夫",""
"Владимир Егоров","弗拉基米尔·叶戈罗夫",""
"Дмитрий Уткин","德米特里·乌特金",""
"Тевлянто","捷夫良托",""
"Людмила Нарусова","柳德米拉·纳鲁索娃",""
"Георгий Цинёв","格奥尔吉·齐涅夫",""
"Георгий Васильев","格奥尔基·瓦西里耶夫",""
"Фатих Сибагатуллин","法提赫·西巴加图林",""
"Нестор Лакоба","涅斯托尔·拉科巴",""
"Айно Куусинен","爱诺·库西宁",""
"Мария Козырева","玛丽亚·科济列娃",""
"Марина Овсянникова","玛丽娜·奥芙姗尼科娃",""
"Валерий Елыкомов","瓦列里·叶雷科莫夫",""
"Василий Илюшечкин","瓦西里·伊柳舍奇金",""
"Симфония № 4 (Чайковский)","第4号交响曲 (柴可夫斯基)",""
"Михаил Титаренко","米哈伊尔·季塔连科",""
"Михаил Кольцов","米哈伊尔·科尔佐夫",""
"Витольд Фокин","维托尔德·福金",""
"Жумабай Шаяхметов","茹马拜·沙亚赫梅托夫",""
"Шакарим Кудайбердиев","萨卡里姆·库代别尔季耶夫",""
"Карл Бернхард Саксен-Веймар-Эйзенахский","萨克森-魏玛-艾森纳赫的伯恩哈德王子 (1792年—1862年)",""
"Ной Жордания","诺伊·佐达尼亚",""
"Нородом Сурамарит","诺罗敦·苏拉玛里特",""
"Сергей Коткин","谢尔盖·科特金",""
"Сергей Витте","谢尔盖·维特",""
"Фёдор Келлер","费多尔·凯勒",""
"46-й гвардейский ночной бомбардировочный авиационный полк","近卫夜间轰炸航空兵第46塔曼团",""
"Тимур Иванов","铁木尔·伊万诺夫",""
"Алексей Ермолинский","阿列克谢·叶尔莫林斯基",""
"Алексей Благовещенский","阿列克谢·布拉戈维申斯基",""
"Алексей Веллер","阿列克谢·韦勒",""
"Яков Заробян","雅科夫·扎罗比扬",""
"Рубен Маркарян","鲁边·马尔卡良",""
"Александр Бессмертных","亚历山大·别斯梅尔特内赫",""
"Александр Терентьев","亚历山大·瓦西里耶维奇·捷连季耶夫 (政治人物)",""
"Александр Серафимович","亚历山大·绥拉菲莫维奇",""
"Александр Хинчин","亚历山大·辛钦",""
"Иван Клеймёнов","伊万·克列伊梅诺夫",""
"Иван Афонов","伊万·阿福诺夫",""
"Ильдар Бикбаев","伊利达尔·比克巴耶夫",""
"Хью Росс","休·达尔林普尔·罗斯",""
"Руководитель Администрации президента России","俄罗斯总统办公厅主任",""
"Леонид Шебаршин","列昂尼德·舍巴尔申",""
"Каюм Муртазаев","卡尤姆·穆尔塔扎耶夫",""
"Елена Тимина","叶连娜·季米娜",""
"Татьяна Лобач","塔季扬娜·洛巴奇",""
"Олег Кононенко","奥列格·科诺年科",""
"Франц Карл Австрийский","奥地利的法兰兹·卡尔",""
"Ольга Пучкова","奥莉加·普奇科娃",""
"Андрей Мягков","安德烈·米亚赫科夫",""
"Юрий Антонов","尤里·安东诺夫",""
"Николай Метнер","尼古拉·梅特纳",""
"Николай Слонимский","尼古拉斯·斯洛尼姆斯基",""
"Владимир Пушкарёв","弗拉基米尔·亚历山德罗维奇·普什卡廖夫",""
"Владимир Ленин","弗拉基米尔·列宁",""
"Владимир Миронов","弗拉基米尔·瓦西里耶维奇·米罗诺夫",""
"Владимир Всеволодович Мономах","弗拉基米尔·莫诺马赫",""
"Владимир Жога","弗拉基米尔·若加",""
"Владислав Ардзинба","弗拉季斯拉夫·阿尔津巴",""
"Пётр Плетнёв","彼得·普列特尼奥夫",""
"Дмитрий Козак","德米特里·科扎克",""
"Питер Лакс","拉克斯·彼得",""
"Станислава Комарова","斯塔尼斯拉娃·科马罗娃",""
"Людмила Журавлёва","柳德米拉·朱拉夫寥娃",""
"Мария Бутина","玛丽亚·布京娜",""
"Беларусь","白俄罗斯",""
"Натан Щаранский","纳坦·夏兰斯基",""
"Вячеслав Плеве","维亚切斯拉夫·冯·普勒韦",""
"Виктор Чижиков","维克托·奇日科夫",""
"Виктор Царёв","维克托·察廖夫",""
"Филипп Октябрьский","菲利普·奥克佳布里斯基",""
"Сарик Андреасян","萨里克·安卓斯杨",""
"Сергей Яхнюк","谢尔盖·亚赫纽克",""
"Сергей Ольденбург","谢尔盖·奥登堡",""
"Семён Бабаевский","谢苗·巴巴耶夫斯基",""
"Дарья Муллакаева","达里娅·穆拉卡耶娃",""
"Дина Аверина","迪娜·阿维林娜",""
"Алексей Экимян","阿列克谢·埃基米扬",""
"Алексей Свешников","阿列克谢·斯韦什尼科夫",""
"Артур Парфенчиков","阿尔图尔·帕尔芬奇科夫",""
"Политический кризис в России (1992—1993)","1993年俄罗斯宪政危机",""
"Президентские выборы в России (2008)","2008年俄罗斯总统选举",""
"Александр Старовойтов","亚历山大·谢尔盖耶维奇·斯塔罗沃伊托夫",""
"Александр Вучич","亚历山大·武契奇",""
"Александр Гольденвейзер","亚历山大·鲍里索维奇·戈登威泽",""
"Иван Ургант","伊万·乌尔甘特",""
"Игорь Руденский","伊戈尔·鲁坚斯基",""
"Елизавета Петровна","伊莉莎白 (俄罗斯女皇)",""
"Иоанн Романов","俄罗斯的伊万·康斯坦丁诺维奇王子",""
"Георгий Михайлович","俄罗斯的格奥尔基·米哈伊罗维奇大公 (1863年—1919年)",""
"Нурсултан Назарбаев","努尔苏丹·纳扎尔巴耶夫",""
"Евгения Глушенко","叶夫根尼娅·格卢申科",""
"Чжоу Баочжун","周保中",""
"Кирилл Стремоусов","基里尔·斯特列穆索夫",""
"Оксана Фадина","奥克萨娜·法金娜",""
"Аугуст Якобсон","奥古斯特·雅各布松",""
"Андрис Берзиньш","安德里斯·贝尔津什 (拉脱维亚总统)",""
"Николай Максюта","尼古拉·马克休塔",""
"Никита Березин","尼基塔·别列津",""
"Нина Андреева","尼娜·安德烈耶娃",""
"Бруно Понтекорво","布鲁诺·庞泰科尔沃",""
"Константин Бальмонт","康斯坦丁·巴尔蒙特",""
"Всеволод Иванов","弗谢沃洛德·伊万诺夫",""
"Пётр Врангель","彼得·弗兰格尔",""
"Лариса Рейснер","拉丽莎·列伊斯涅尔",""
"Станислав Пестковский","斯坦尼斯拉夫·佩斯特科夫斯基",""
"Станислав Козловский","斯坦尼斯拉夫·科兹洛夫斯基",""
"Святогорский Успенский монастырь (Пушкинские Горы)","斯维亚托戈尔斯基修道院",""
"Глеб Кржижановский","格列布·克尔日扎诺夫斯基",""
"Григорий Кривошеев","格里戈里·克里沃舍耶夫",""
"Флаг Содружества Независимых Государств","独立国家联合体会旗",""
